,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language
20773,20773,1239,617,Gabriel's Rapture,Sylvain Reynard,Adult & Contemporary Romance:Adult & Contemporary Romance,23 Nov 2012,432,Penguin Books Ltd,English,Gabriel's Redemption,Sylvain Reynard,Romance;Romance;Contemporary Romance;Contemporary;Adult;New Adult,December 3rd 2013,477,Berkley Trade,English
20774,20774,1455,617,Gabriel's Inferno,Sylvain Reynard,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,04 Sep 2012,548,Penguin Putnam Inc,English,Gabriel's Redemption,Sylvain Reynard,Romance;Romance;Contemporary Romance;Contemporary;Adult;New Adult,December 3rd 2013,477,Berkley Trade,English
20778,20778,3591,617,La redención de Gabriel,Sylvain Reynard:Lara Agnelli,Erotic Fiction,None,576,Booket,Spanish,Gabriel's Redemption,Sylvain Reynard,Romance;Romance;Contemporary Romance;Contemporary;Adult;New Adult,December 3rd 2013,477,Berkley Trade,English
20885,20885,3071,618,Hidden Riches,Nora Roberts,Contemporary Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,28 Aug 2012,465,Penguin Putnam Inc,English,Hidden Riches,Nora Roberts,Romance;Romance;Romantic Suspense;Romance;Contemporary Romance;Contemporary;Fiction;Mystery,July 6th 2004,392,Berkley,English
21252,21252,781,627,Gabriel's Rapture,Sylvain Reynard,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,04 Sep 2012,416,Penguin Putnam Inc,English,Gabriel's Rapture,Sylvain Reynard,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica;Adult;New Adult,May 22nd 2012,386,Penguin Berkley,English
21257,21257,3450,627,El infierno de Gabriel,Sylvain Reynard:Lara Agnelli,Erotic Fiction:Romance:Romance Books,01 Jul 2014,624,Booket,Spanish,Gabriel's Rapture,Sylvain Reynard,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica;Adult;New Adult,May 22nd 2012,386,Penguin Berkley,English
21261,21261,3921,627,La redención de Gabriel,Sylvain Reynard:Lara Agnelli,Erotic Fiction:Romance:Romance Books:English Language: Reading & Writing Skills,08 Jan 2014,560,Editorial Planeta S.A.,Spanish,Gabriel's Rapture,Sylvain Reynard,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica;Adult;New Adult,May 22nd 2012,386,Penguin Berkley,English
21474,21474,3476,636,Fueled,K. Bromberg,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Sep 2016,352,Diversion Books,English,Fueled,K. Bromberg,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Sports and Games;Sports,August 27th 2013,356,JKB Publishing,
21531,21531,590,640,The Darkest Touch : A Spellbinding Paranormal Romance Novel,Gena Showalter,Horror:Horror:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Mar 2015,496,Harlequin Books,English,The Darkest Kiss,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Demons,June 1st 2008,368,HQN Books,English
21744,21744,589,650,Something Borrowed,Emily Giffin,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,27 Mar 2012,406,St Martin's Press,English,Something Borrowed,Emily Giffin,Womens Fiction;Chick Lit;Romance;Fiction;Contemporary,June 1st 2004,322,St. Martin's Press,English
