Title,Authors,Genres,Year,Pages,Publisher,Language,ISBN,ISBN13,URL
Promises,Marie Sexton,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,31 Jan 2010,216,Dreamspinner Press,English,1615813780,1615813780,https://www.bookdepository.com/Promises-Marie-Sexton/9781615813780?ref=grid-view,
Cooking up a Storm,Emma Holly,Erotic Fiction,09 Mar 2010,288,Ebury Publishing,English,0352341149,0352341149,https://www.bookdepository.com/Cooking-up-Storm-Emma-Holly/9780352341143?ref=grid-view,
Parasite Dr. Suzune Volume 1,Haruki,Erotic Fiction:Graphic Novels: Manga:Graphic Novels: Manga,12 Nov 2013,200,801 MEDIA,English,1624590373,1624590373,https://www.bookdepository.com/Parasite-Dr-Suzune-1-Haruki/9781624590375?ref=grid-view,
Into The Light,Alice Raine,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,20 Aug 2015,240,Accent Press Ltd,English,1783758074,1783758074,https://www.bookdepository.com/Into-Light-Alice-Raine/9781783758074?ref=grid-view,
Tempted,Megan Hart,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Nov 2012,432,HarperCollins Publishers,English,0263905799,0263905799,https://www.bookdepository.com/Tempted-Megan-Hart/9780263905793?ref=grid-view,
Bound To Please,Lilli Feisty,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,29 May 2009,336,Little Brown & Company,English,0446541923,0446541923,https://www.bookdepository.com/Bound-Please-Lilli-Feisty/9780446541923?ref=grid-view,
Mi hombre. Obsesión,Jodi Ellen Malpas:Vicky Charques:Marisa Rodriguez,Erotic Fiction,28 Jan 2015,560,Booket,Spanish,8408135716,8408135716,https://www.bookdepository.com/Mi-hombre-Obsesi%C3%B3n-Jodi-Ellen-Malpas/9788408135715?ref=grid-view,
Hotel of Seduction : The Complete Novel,Marina Anderson,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Sep 2015,416,Little Brown Book Group,English,0751558583,0751558583,https://www.bookdepository.com/Hotel-Seduction-Marina-Anderson/9780751558586?ref=grid-view,
Caught Running,Abigail Roux:Madeleine Urban,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Dec 2007,236,Dreamspinner Press,English,0980101883,0980101883,https://www.bookdepository.com/Caught-Running-Abigail-Roux/9780980101881?ref=grid-view,
No One to Trust : A Novel,Iris Johansen,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Adventure Books:Romance:Romance Books,01 Sep 2003,301,Bantam Doubleday Dell Publishing Group Inc,English,0553584375,0553584375,https://www.bookdepository.com/No-One-Trust-Iris-Johansen/9780553584370?ref=grid-view,
Odd Child Out,Gilly MacMillan,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers,03 Oct 2017,404,William Morrow & Company,English,0062476823,0062476823,https://www.bookdepository.com/Odd-Child-Out-Gilly-MacMillan/9780062476821?ref=grid-view,
Beauty from Surrender (Beauty Series #2),Georgia Cates,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,28 May 2013,350,Createspace Independent Publishing Platform,English,1489591095,1489591095,https://www.bookdepository.com/Beauty-from-Surrender-Beauty-Series-2-Georgia-Cates/9781489591098?ref=grid-view,
Shatter,Michael Robotham,Contemporary Fiction:Thriller Books:Thrillers,26 Jan 2012,472,Little Brown & Company,English,0316187429,0316187429,https://www.bookdepository.com/Shatter-Michael-Robotham/9780316187428?ref=grid-view,
Sex Criminals Volume 5 : Five-Fingered Discount,Matt Fraction:Chip Zdarsky,Fantasy:Fantasy Books:Erotic Fiction:Romance:Romance Books:Graphic Novels Anime & Manga:Graphic Novels Anime & Manga,14 Aug 2018,136,Image Comics,English,1534306838,1534306838,https://www.bookdepository.com/Sex-Criminals-5-Matt-Fraction/9781534306837?ref=grid-view,
Anything He Wants & Castaway,Sara Fawkes,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Oct 2014,661,St. Martin's Griffin,English,1250054958,1250054958,https://www.bookdepository.com/Anything-He-Wants-Castaway-Sara-Fawkes/9781250054951?ref=grid-view,
Personal Assets,Emma Holly,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Sep 2005,293,Penguin Putnam Inc,English,0425199312,0425199312,https://www.bookdepository.com/Personal-Assets-Emma-Holly/9780425199312?ref=grid-view,
Hardpressed : The Hacker Series #2,Meredith Wild,Contemporary Fiction:Thriller Books:Thrillers:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,18 Jun 2015,313,Little Brown & Company,English,1455591726,1455591726,https://www.bookdepository.com/Hardpressed-Meredith-Wild/9781455591725?ref=grid-view,
What a Reckless Rogue Needs,Vicky Dreiling,Contemporary Fiction:Erotic Fiction:Historical Romance:Historical Romance,27 Mar 2014,400,Little Brown & Company,English,1455522880,1455522880,https://www.bookdepository.com/What-Reckless-Rogue-Needs-Vicky-Dreiling/9781455522880?ref=grid-view,
Raced,K. Bromberg,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Sep 2016,158,Diversion Books,English,1682307816,1682307816,https://www.bookdepository.com/Raced-K-Bromberg/9781682307816?ref=grid-view,
How to Write a Dirty Story : Reading Writing and Publishing Erotica,Susie Bright,Writing & Editing Guides:Semantics:Erotic Fiction,05 Feb 2002,302,SIMON & SCHUSTER,English,0743226232,0743226232,https://www.bookdepository.com/How-Write-Dirty-Story-Susie-Bright/9780743226233?ref=grid-view,
Surrender to Me,Shayla Black,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Jul 2013,353,Penguin Putnam Inc,English,0425268241,0425268241,https://www.bookdepository.com/Surrender-Me-Shayla-Black/9780425268247?ref=grid-view,
Powder and Patch,Georgette Heyer,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction,01 Jan 2010,192,Sourcebooks Casablanca,English,1402219490,1402219490,https://www.bookdepository.com/Powder-Patch-Georgette-Heyer/9781402219498?ref=grid-view,
Valeria en el espejo,Elisabet Benavent,Contemporary Fiction:Erotic Fiction:Romance:Romance Books,26 Jan 2016,439,DEBOLSILLO,Spanish,8490628998,8490628998,https://www.bookdepository.com/Valeria-en-el-espejo-Elisabet-Benavent/9788490628997?ref=grid-view,
Knight and Play,Kitty French,Erotic Fiction,26 Sep 2013,224,Createspace,English,1484920147,1484920147,https://www.bookdepository.com/Knight-Play-Kitty-French/9781484920145?ref=grid-view,
Still Missing,Chevy Stevens,Contemporary Fiction:Thriller Books:Thrillers,24 May 2011,362,St Martin's Press,English,031257357X,031257357X,https://www.bookdepository.com/Still-Missing-Chevy-Stevens/9780312573577?ref=grid-view,
The Darker Side of Pleasure,Eden Bradley,Contemporary Fiction:Erotic Fiction:Romance:Romance Books,25 Sep 2007,319,Bantam Doubleday Dell Publishing Group Inc,English,0553589741,0553589741,https://www.bookdepository.com/Darker-Side-Pleasure-Eden-Bradley/9780553589740?ref=grid-view,
He Claims Me : The Seen Trilogy: Part Three,Cynthia Sax,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,20 Aug 2013,109,Avon Red Impulse,English,0062300350,0062300350,https://www.bookdepository.com/He-Claims-Me-Cynthia-Sax/9780062300355?ref=grid-view,
Twin Fantasies,Opal Carew,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Aug 2007,288,Griffin Publishing,English,0312367783,0312367783,https://www.bookdepository.com/Twin-Fantasies-Opal-Carew/9780312367787?ref=grid-view,
Velvet Glove,Emma Holly,Erotic Fiction,22 Apr 2010,272,Ebury Publishing,English,0352341157,0352341157,https://www.bookdepository.com/Velvet-Glove-Emma-Holly/9780352341150?ref=grid-view,
Razer's Ride,Jamie Begley,Erotic Fiction,10 Jun 2013,228,Young Ink Press LLC,English,0615900305,0615900305,https://www.bookdepository.com/Razers-Ride-Jamie-Begley/9780615900308?ref=grid-view,
Strokes of Genius,Kitty Von Klass,Erotic Fiction,26 Jan 2012,74,Feedaread.com,English,1908895659,1908895659,https://www.bookdepository.com/Strokes-Genius-Kitty-Von-Klass/9781908895653?ref=grid-view,
Asarotica,Asa Akira,Erotic Fiction:Sex & Sexuality Sex Manuals,28 Nov 2017,216,Cleis Press,English,1627782265,1627782265,https://www.bookdepository.com/Asarotica-Asa-Akira/9781627782265?ref=grid-view,
Lana : A Novella,R K Lilley,Erotic Fiction,11 Mar 2013,None,R.K. Lilley,English,0615822886,0615822886,https://www.bookdepository.com/Lana-R-K-Lilley/9780615822884?ref=grid-view,
The Lover,Robin Schone,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,01 Jul 2002,400,Kensington Publishing,English,0758204272,0758204272,https://www.bookdepository.com/Lover-Robin-Schone/9780758204271?ref=grid-view,
Wolf Tales: Bk. 7,Kate Douglas,Erotic Fiction:Romance:Romance Books,05 Jan 2009,256,Kensington Publishing,English,0758226934,0758226934,https://www.bookdepository.com/Wolf-Tales-Bk-7-Kate-Douglas/9780758226938?ref=grid-view,
Steamlust : Steampunk Erotic Romance,Kristina Wright,Erotic Fiction:Romance:Romance Books,20 Oct 2011,256,Cleis Press,English,1573447218,1573447218,https://www.bookdepository.com/Steamlust-Kristina-Wright/9781573447218?ref=grid-view,
Addicted to You,Beth Kery,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,07 Jun 2011,341,Penguin Putnam Inc,English,0425241106,0425241106,https://www.bookdepository.com/Addicted-You-Beth-Kery/9780425241103?ref=grid-view,
An Irish Country Love Story : A Novel,Patrick Taylor,Contemporary Fiction,20 Sep 2017,400,St Martin's Press,English,0765382733,0765382733,https://www.bookdepository.com/Irish-Country-Love-Story-Patrick-Taylor/9780765382733?ref=grid-view,
Semmelweiss,Louis-Ferdinand Celine,Biography: General:Contemporary Fiction:Erotic Fiction:Short Story Books,31 Dec 2014,80,Atlas Press,English,1900565471,1900565471,https://www.bookdepository.com/Semmelweiss-Louis-Ferdinand-Celine/9781900565479?ref=grid-view,
Wolf Bride (Lust in the Tudor court - Book One),Elizabeth Moss,Erotic Fiction:Romance:Romance Books:Historical Romance:Historical Romance,07 Nov 2013,352,Hodder & Stoughton General Division,English,1444752421,1444752421,https://www.bookdepository.com/Wolf-Bride-Lust-Tudor-court-Book-One-Elizabeth-Moss/9781444752427?ref=grid-view,
"BedTime PlayTime: Ellora's Cave ",Jaid Black,Erotic Fiction:Romance:Romance Books:Short Story Books,01 Aug 2007,224,SIMON & SCHUSTER,English,1416536140,1416536140,https://www.bookdepository.com/BedTime-PlayTime-Elloras-Cave-Jaid-Black/9781416536147?ref=grid-view,
And Then You Die : A Novel,Iris Johansen,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Adventure Books,01 Oct 1998,322,Bantam Doubleday Dell Publishing Group Inc,English,0553579983,0553579983,https://www.bookdepository.com/Then-You-Die-Iris-Johansen/9780553579987?ref=grid-view,
Got a Minute? : 60 Second Erotica,Alison Tyler,Erotic Fiction:Short Story Books,26 Aug 2010,240,Cleis Press,English,1573444049,1573444049,https://www.bookdepository.com/Got-Minute-Alison-Tyler/9781573444040?ref=grid-view,
The End of the Innocence,Alessandra Torre,Erotic Fiction,23 Mar 2014,448,Dca Inc.,English,1940941423,1940941423,https://www.bookdepository.com/End-Innocence-Alessandra-Torre/9781940941424?ref=grid-view,
Beautiful player : Un Seductor Irresistible / an Irresistible Seducer,Christina Lauren,Erotic Fiction:Romance:Romance Books,03 Jun 2014,400,DEBOLSILLO,Spanish,8490623198,8490623198,https://www.bookdepository.com/Beautiful-player-Christina-Lauren/9788490623190?ref=grid-view,
The Anatomy of Dreams,Chloe Benjamin,Contemporary Fiction,16 Sep 2014,311,Atria Books,English,1476761167,1476761167,https://www.bookdepository.com/Anatomy-Dreams-Chloe-Benjamin/9781476761169?ref=grid-view,
Mystery,Jonathan Kellerman,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers,19 Jan 2018,404,Random House USA Inc,English,0345505700,0345505700,https://www.bookdepository.com/Mystery-Jonathan-Kellerman/9780345505705?ref=grid-view,
Jeweled,Anya Bast,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Nov 2010,312,Penguin Putnam Inc,English,0425236862,0425236862,https://www.bookdepository.com/Jeweled-Anya-Bast/9780425236864?ref=grid-view,
Knight and Stay,Kitty French,Erotic Fiction,26 Sep 2013,211,Createspace Independent Publishing Platform,English,1484920066,1484920066,https://www.bookdepository.com/Knight-Stay-Kitty-French/9781484920060?ref=grid-view,
Best Lesbian Erotica 2014,Kathleen Warnock,Contemporary Fiction:Erotic Fiction,23 Jan 2014,244,Cleis Press,English,1627780025,1627780025,https://www.bookdepository.com/Best-Lesbian-Erotica-2014-Kathleen-Warnock/9781627780025?ref=grid-view,
Find Me (Found Duet - Book 2),Laurelin Paige,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Sep 2015,260,Paige Press,English,1942835019,1942835019,https://www.bookdepository.com/Find-Me-Found-Duet-Book-2-Laurelin-Paige/9781942835011?ref=grid-view,
Butterfly,Kathryn Harvey,Thriller Books:Thrillers:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 May 2012,526,Turner,English,1596528729,1596528729,https://www.bookdepository.com/Butterfly-Kathryn-Harvey/9781596528727?ref=grid-view,
Bound by Hatred,Cora Reilly,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,28 Apr 2015,311,Createspace Independent Publishing Platform,English,1512191655,1512191655,https://www.bookdepository.com/Bound-by-Hatred-Cora-Reilly/9781512191653?ref=grid-view,
La hermandad de la Daga Negra 12. El rey,John Robert Ward,Erotic Fiction:Romance:Romance Books:People & Places,19 Jan 2016,688,Suma,Spanish,8483658453,8483658453,https://www.bookdepository.com/La-hermandad-de-la-Daga-Negra-12-El-rey-John-Robert-Ward/9788483658451?ref=grid-view,
Jake,R C Ryan,Westerns:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Feb 2013,438,FOREVER,English,1455502448,1455502448,https://www.bookdepository.com/Jake-R-C-Ryan/9781455502448?ref=grid-view,
His to Claim,Opal Carew,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Sep 2014,274,St. Martin's Griffin,English,1250052823,1250052823,https://www.bookdepository.com/His-Claim-Opal-Carew/9781250052827?ref=grid-view,
Richard Matheson Volume 2 : Collected Stories,Richard Matheson,Contemporary Fiction:Erotic Fiction:Short Story Books,01 Mar 2005,453,Gauntlet Press,English,1887368795,1887368795,https://www.bookdepository.com/Richard-Matheson-2-Richard-Matheson/9781887368797?ref=grid-view,
A Girl Walks into a Bar : Choose Your Own Erotic Destiny,Helena S. Paige,Erotic Fiction,20 Feb 2014,320,Little Brown Book Group,English,0751552577,0751552577,https://www.bookdepository.com/Girl-Walks-into-Bar-Helena-S-Paige/9780751552577?ref=grid-view,
Crossfire 2. Reflejada en ti,Sylvia Day:María Jesús Asensio Tudela:Jesús de la Torre Olid,Erotic Fiction:Romance:Romance Books:English Language: Reading & Writing Skills,03 Feb 2014,432,Booket,Spanish,8467040955,8467040955,https://www.bookdepository.com/Crossfire-2-Reflejada-en-ti-Sylvia-Day/9788467040951?ref=grid-view,
Sorpréndeme,Megan Maxwell,Erotic Fiction:Romance:Romance Books,08 Apr 2015,430,Booket,Spanish,8408135732,8408135732,https://www.bookdepository.com/Sorpr%C3%A9ndeme-Megan-Maxwell/9788408135739?ref=grid-view,
Helen And Desire,Alexander Trocchi:Edwin Morgan,Contemporary Fiction:Erotic Fiction,01 Apr 2013,176,Canongate Books Ltd,English,0857869418,0857869418,https://www.bookdepository.com/Helen-Desire-Alexander-Trocchi/9780857869418?ref=grid-view,
Seduce Me,Georgia Le Carre,Erotic Fiction,30 May 2014,None,Georgia Le Carre,English,0992824982,0992824982,https://www.bookdepository.com/Seduce-Me-Georgia-Le-Carre/9780992824983?ref=grid-view,
Love in Rewind,Tali Alexander,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Apr 2014,360,Love in Rewind,English,0996052917,0996052917,https://www.bookdepository.com/Love-Rewind-Tali-Alexander/9780996052917?ref=grid-view,
Bedtime Stories : A Collection of Erotic Fairy Tales,Jean Johnson,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Apr 2010,356,Penguin Putnam Inc,English,0425232573,0425232573,https://www.bookdepository.com/Bedtime-Stories-Jean-Johnson/9780425232576?ref=grid-view,
Falling Into Us,Jasinda Wilder,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,13 Aug 2013,524,Seth Clarke,English,0989104427,0989104427,https://www.bookdepository.com/Falling-Into-Us-Jasinda-Wilder/9780989104425?ref=grid-view,
Duchess Hunt,Jennifer Haymore,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,27 Jun 2013,400,Little Brown & Company,English,1455523399,1455523399,https://www.bookdepository.com/Duchess-Hunt-Jennifer-Haymore/9781455523399?ref=grid-view,
Hell's Sinner,Bella Jewel,Erotic Fiction:Romance:Romance Books,19 Aug 2013,209,Createspace,English,1492265225,1492265225,https://www.bookdepository.com/Hells-Sinner-Bella-Jewel/9781492265221?ref=grid-view,
Lovers & Madmen,Roy Stuart,Erotic & Nude Photography:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Apr 2017,320,Edition Skylight,French German,3037666641,3037666641,https://www.bookdepository.com/Lovers-Madmen-Roy-Stuart/9783037666647?ref=grid-view,
Fast Girls : Erotica for Women,Rachel Kramer Bussel,Erotic Fiction:Short Story Books,22 Jul 2010,256,Cleis Press,English,1573443840,1573443840,https://www.bookdepository.com/Fast-Girls-Rachel-Kramer-Bussel/9781573443845?ref=grid-view,
Quinn,R C Ryan,Contemporary Fiction:Westerns:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Mar 2012,352,FOREVER,English,1455502456,1455502456,https://www.bookdepository.com/Quinn-R-C-Ryan/9781455502455?ref=grid-view,
Pleasure Bound,Opal Carew,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,31 Dec 2010,288,Griffin Publishing,English,0312580150,0312580150,https://www.bookdepository.com/Pleasure-Bound-Opal-Carew/9780312580155?ref=grid-view,
Crash Into You,Roni Loren,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Jan 2012,323,Penguin Putnam Inc,English,0425245241,0425245241,https://www.bookdepository.com/Crash-Into-You-Roni-Loren/9780425245248?ref=grid-view,
While My Wife's Away,James Lear,Erotic Fiction,25 Jul 2017,240,Cleis Press,English,1627782001,1627782001,https://www.bookdepository.com/While-My-Wifes-Away-James-Lear/9781627782005?ref=grid-view,
The Palace of Varieties,James Lear,Contemporary Fiction:Erotic Fiction,12 Jun 2008,280,Cleis Press,English,157344314X,157344314X,https://www.bookdepository.com/Palace-Varieties-James-Lear/9781573443142?ref=grid-view,
Mi hombre. Seducción,Jodi Ellen Malpas:Vicky Charques:Marisa Rodriguez,Erotic Fiction,28 Jan 2015,560,Booket,Spanish,8408135708,8408135708,https://www.bookdepository.com/Mi-hombre-Seducci%C3%B3n-Jodi-Ellen-Malpas/9788408135708?ref=grid-view,
Oola,Brittany Newell,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,20 Apr 2017,268,HarperCollins Publishers,English,0008209790,0008209790,https://www.bookdepository.com/Oola-Brittany-Newell/9780008209797?ref=grid-view,
All He Wants,C C Gibbs,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,07 Sep 2013,374,Little Brown & Company,English,1455528323,1455528323,https://www.bookdepository.com/All-He-Wants-C-C-Gibbs/9781455528325?ref=grid-view,
Zombie Tramp Volume 1,Dan Mendoza,Horror:Horror:Science Fiction:Science Fiction:Erotic Fiction:Graphic Novels Anime & Manga:Graphic Novels Anime & Manga,22 Oct 2013,128,Action Lab Entertainment Inc.,English,0985965274,0985965274,https://www.bookdepository.com/Zombie-Tramp-1-Dan-Mendoza/9780985965273?ref=grid-view,
Mystery (Alex Delaware series Book 26) : A shocking thrilling psychological crime novel,Jonathan Kellerman,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers,13 Oct 2011,384,Headline Publishing Group,English,0755374487,0755374487,https://www.bookdepository.com/Mystery-Alex-Delaware-series-Book-26-Jonathan-Kellerman/9780755374489?ref=grid-view,
Best Gay Erotica 2011,Richard LaBonte,Anthologies (non-poetry):Contemporary Fiction:Erotic Fiction,27 Jan 2011,256,Cleis Press,English,1573444243,1573444243,https://www.bookdepository.com/Best-Gay-Erotica-2011-Richard-LaBonte/9781573444248?ref=grid-view,
The Curse of the Dragon God : A Gay Adventure,Geoffrey Knight,Contemporary Fiction:Adventure Books:Erotic Fiction,21 Jul 2011,288,Cleis Press,English,1573446610,1573446610,https://www.bookdepository.com/Curse-Dragon-God-Geoffrey-Knight/9781573446617?ref=grid-view,
Undeniable,Alison Kent,Westerns:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Oct 2012,342,Heat,English,0425253260,0425253260,https://www.bookdepository.com/Undeniable-Alison-Kent/9780425253267?ref=grid-view,
Unlaced,Jaci Burton,Contemporary Fiction:Erotic Fiction:Short Story Books,02 Dec 2008,448,Penguin Putnam Inc,English,0425223817,0425223817,https://www.bookdepository.com/Unlaced-Jaci-Burton/9780425223819?ref=grid-view,
Broken Innocence : The Alpha Billionaire Romance Series,Bridget Taylor,Erotic Fiction,19 May 2016,492,Createspace Independent Publishing Platform,English,1533354413,1533354413,https://www.bookdepository.com/Broken-Innocence-Bridget-Taylor/9781533354419?ref=grid-view,
Addicted : A Novel,Zane,Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Feb 2013,336,Atria Books,English,1476706948,1476706948,https://www.bookdepository.com/Addicted-Zane/9781476706948?ref=grid-view,
La redención de Gabriel,Sylvain Reynard:Lara Agnelli,Erotic Fiction,None,576,Booket,Spanish,8408133373,8408133373,https://www.bookdepository.com/La-redenci%C3%B3n-de-Gabriel-Sylvain-Reynard/9788408133377?ref=grid-view,
In Deep Waters 2 : Cruising the Strip,Radclyffe:Karin Kallmaker,Contemporary Fiction:Erotic Fiction:Romance:Romance Books,13 May 2008,288,BELLA BOOKS,English,1602820139,1602820139,https://www.bookdepository.com/Deep-Waters-2-Radclyffe/9781602820135?ref=grid-view,
Yours Completely,Joya Ryan,Erotic Fiction,13 Oct 2015,224,Little Brown Book Group,English,0349407185,0349407185,https://www.bookdepository.com/Yours-Completely-Joya-Ryan/9780349407180?ref=grid-view,
Montana Heat: True to You,Jennifer Ryan,Crime:Crime Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Mar 2018,384,HarperCollins Publishers Inc,English,0062645285,0062645285,https://www.bookdepository.com/Montana-Heat-True-You-Jennifer-Ryan/9780062645289?ref=grid-view,
Only With You,Lauren Layne,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Aug 2014,352,Little Brown & Company,English,1455546070,1455546070,https://www.bookdepository.com/Only-With-You-Lauren-Layne/9781455546077?ref=grid-view,
Please Sir : Erotic Stories of Female Submission,Rachel Kramer Bussel,Erotic Fiction:Short Story Books,27 May 2010,216,Cleis Press,English,1573443891,1573443891,https://www.bookdepository.com/Please-Sir-Rachel-Kramer-Bussel/9781573443890?ref=grid-view,
Flogging,Joseph Bean,Erotic Fiction:Gay Studies (Gay Men):Sex & Sexuality Sex Manuals,25 Feb 2015,137,Greenery Press,English,1890159271,1890159271,https://www.bookdepository.com/Flogging-Joseph-Bean/9781890159276?ref=grid-view,
Monday Mornings,Sanjay Gupta,Contemporary Fiction,10 Mar 2013,304,Little Brown & Company,English,0446583847,0446583847,https://www.bookdepository.com/Monday-Mornings-Sanjay-Gupta/9780446583848?ref=grid-view,
The Royal Family,William T. Vollmann,Contemporary Fiction:Crime:Crime Fiction:Adventure Books:Erotic Fiction,10 Nov 2001,780,Penguin Books Ltd,English,014100200X,014100200X,https://www.bookdepository.com/Royal-Family-William-T-Vollmann/9780141002002?ref=grid-view,
Rescatada Por Ti,Maya Banks,Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,31 Jul 2016,301,Roca Editorial,Spanish,8416240396,8416240396,https://www.bookdepository.com/Rescatada-Por-Ti-Maya-Banks/9788416240395?ref=grid-view,
All He Needs,C C Gibbs,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Dec 2013,432,Little Brown & Company,English,1455528331,1455528331,https://www.bookdepository.com/All-He-Needs-C-C-Gibbs/9781455528332?ref=grid-view,
Crossfire V. Somos uno,Sylvia Day:María Jesús Asensio Tudela:Jesús de la Torre Olid,Erotic Fiction:Romance:Romance Books,08 Apr 2016,496,Espasa Libros S.L.,Spanish,8467047046,8467047046,https://www.bookdepository.com/Crossfire-V-Somos-uno-Sylvia-Day/9788467047042?ref=grid-view,
A Dangerous Thing : The Adrien English Mysteries,Josh Lanyon,Contemporary Fiction:Crime:Crime Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,14 May 2012,None,Just Joshin,English,1937909166,1937909166,https://www.bookdepository.com/Dangerous-Thing-Josh-Lanyon/9781937909161?ref=grid-view,
Sexy Beast: v. 7,Kate Douglas:Anitra Lynn McLeod:Shelli Stevens,Erotic Fiction:Romance:Romance Books,01 Sep 2009,256,Kensington Publishing,English,0758228708,0758228708,https://www.bookdepository.com/Sexy-Beast-v-7-Kate-Douglas/9780758228703?ref=grid-view,
Best Lesbian Romance 2012,Radclyffe,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Short Story Books,19 Jan 2012,220,Cleis Press,English,1573447579,1573447579,https://www.bookdepository.com/Best-Lesbian-Romance-2012-Radclyffe/9781573447577?ref=grid-view,
Shades of Gray,Brooke McKinley,Contemporary Fiction:Erotic Fiction:Romance:Romance Books,31 Oct 2009,298,Dreamspinner Press,English,161581079X,161581079X,https://www.bookdepository.com/Shades-Gray-Brooke-McKinley/9781615810796?ref=grid-view,
Shade's Fall,Jamie Begley,Erotic Fiction,21 Mar 2014,456,Young Ink Press LLC,English,0692200010,0692200010,https://www.bookdepository.com/Shades-Fall-Jamie-Begley/9780692200018?ref=grid-view,
The Warrior's Viking Bride,Michelle Styles,Erotic Fiction:Historical Romance:Historical Romance,22 Feb 2018,368,HarperCollins Publishers,English,0263932729,0263932729,https://www.bookdepository.com/Warriors-Viking-Bride-Michelle-Styles/9780263932720?ref=grid-view,
Resisting Her,Kendall Ryan,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Apr 2013,292,Createspace Independent Publishing Platform,English,148117567X,148117567X,https://www.bookdepository.com/Resisting-Her-Kendall-Ryan/9781481175678?ref=grid-view,
