Title,Authors,Genres,Year,Pages,Publisher,Language,ISBN,ISBN13,URL
A Walk to Remember,Nicholas Sparks,Contemporary Fiction:Romance:Romance Books,01 Sep 2000,240,Warner Books (NY),English,0446608955,0446608955,https://www.bookdepository.com/Walk-Remember-Nicholas-Sparks/9780446608954?ref=grid-view,
The Hypnotist's Love Story,Liane Moriarty,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Aug 2012,528,Penguin Books Ltd,English,0241955068,0241955068,https://www.bookdepository.com/Hypnotists-Love-Story-Liane-Moriarty/9780241955062?ref=grid-view,
Big Little Lies : Now an HBO limited series,Liane Moriarty,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Family & Relationships,20 Apr 2017,496,Penguin Books Ltd,English,1405931566,1405931566,https://www.bookdepository.com/Big-Little-Lies-Liane-Moriarty/9781405931564?ref=grid-view,
Pride and Prejudice,Jane Austen:Vivien Jones:Tony Tanner,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance:People & Places,30 Jan 2003,448,Penguin Books Ltd,English,0141439513,0141439513,https://www.bookdepository.com/Pride-Prejudice-Jane-Austen/9780141439518?ref=grid-view,
The Sky Is Everywhere,Jandy Nelson,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Children's Fiction:Children's General Story Books:Family,05 Feb 2015,320,Walker Books Ltd,English,1406354384,1406354384,https://www.bookdepository.com/Sky-Is-Everywhere-Jandy-Nelson/9781406354386?ref=grid-view,
Dr Jekyll and Mr Hyde,Robert Louis Stevenson,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,06 Dec 2012,128,Penguin Books Ltd,English,0141389508,0141389508,https://www.bookdepository.com/Dr-Jekyll-Mr-Hyde-Robert-Louis-Stevenson/9780141389509?ref=grid-view,
The Last Letter from Your Lover,Jojo Moyes,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Dec 2016,512,Hodder & Stoughton General Division,English,0340961643,0340961643,https://www.bookdepository.com/Last-Letter-from-Your-Lover-Jojo-Moyes/9780340961643?ref=grid-view,
After You,Jojo Moyes,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Jun 2016,448,Penguin Books Ltd,English,1405926759,1405926759,https://www.bookdepository.com/After-You-Jojo-Moyes/9781405926751?ref=grid-view,
The Pearl Sister,Lucinda Riley,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction,02 Nov 2017,704,Pan MacMillan,English,150985116X,150985116X,https://www.bookdepository.com/Pearl-Sister-Lucinda-Riley/9781509851164?ref=grid-view,
Crazy Rich Asians : The international bestseller now a major film in 2018,Kevin Kwan,Contemporary Fiction:Romance:Romance Books,01 May 2014,416,ATLANTIC BOOKS,English,1782393323,1782393323,https://www.bookdepository.com/Crazy-Rich-Asians-Kevin-Kwan/9781782393320?ref=grid-view,
