Title,Authors,Genres,Year,Pages,Publisher,Language,ISBN,ISBN13,URL
Can You Keep a Secret?,Sophie Kinsella,Womens Fiction;Chick Lit;Romance;Fiction;Contemporary;Humor,December 27th 2005,374,Dell Publishing Company,English,0440241901,9780440241904,https://www.goodreads.com/book/show/33724.Can_You_Keep_a_Secret_,
The Sweet Gum Tree,Katherine Allred,Romance;Contemporary;Romance;Contemporary Romance;New Adult;Womens Fiction;Chick Lit,November 1st 2005,314,Ellora's Cave,English,1419953249,9781419953248,https://www.goodreads.com/book/show/2761356-the-sweet-gum-tree,
Existence,Abbi Glines,Fantasy;Paranormal;Young Adult;Romance;Fantasy;Romance;Paranormal Romance,December 13th 2011,161,WIld Child Publishing,,English,None,https://www.goodreads.com/book/show/13223520-existence,
Sugar Daddy,Lisa Kleypas,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult,March 6th 2007,371,St. Martin's Press,English,0312351623,9780312351625,https://www.goodreads.com/book/show/306364.Sugar_Daddy,
Bet Me,Jennifer Crusie,Romance;Womens Fiction;Chick Lit;Romance;Contemporary Romance;Contemporary;Fiction;Humor;Humor;Funny,August 31st 2004,391,St. Martin's Paperbacks,English,0312987854,9780312987855,https://www.goodreads.com/book/show/854757.Bet_Me,
Forget You,Jennifer Echols,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit;Realistic Fiction,July 20th 2010,292,MTV Books,English,1439178232,9781439178232,https://www.goodreads.com/book/show/7129588-forget-you,
Forever Mine,Elizabeth Reyes,Romance;Young Adult;Contemporary;Romance;Contemporary Romance,September 6th 2010,334,,,B00427ZI2C,None,https://www.goodreads.com/book/show/9279734-forever-mine,
Playing for Keeps,R.L. Mathewson,Romance;Romance;Contemporary Romance;Contemporary;Humor;Funny;Adult,April 29th 2011,220,Rerum Publishing House,English,0983212546,9780983212546,https://www.goodreads.com/book/show/11381643-playing-for-keeps,
Fallen Too Far,Abbi Glines,Romance;Contemporary;Romance;Contemporary Romance;Young Adult,December 14th 2012,300,Abbi Glines,,B00AOTGI08,None,https://www.goodreads.com/book/show/16070903-fallen-too-far,
Wallbanger,Alice Clayton,Contemporary;Romance;Contemporary Romance;Humor;Funny;New Adult;Womens Fiction;Chick Lit;Adult;Humor,November 27th 2012,384,Omnific Publishing,English,1623420024,9781623420024,https://www.goodreads.com/book/show/15858248-wallbanger,
The Perfect Play,Jaci Burton,Romance;Sports and Games;Sports;Romance;Contemporary Romance;Contemporary;Contemporary Romance;Sports Romance;Adult Fiction;Erotica,February 1st 2011,324,Penguin Berkley Heat,English,0425238814,9780425238813,https://www.goodreads.com/book/show/8341567-the-perfect-play,
Call Me Irresistible,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,January 18th 2011,385,William Morrow,English,0061351520,9780061351525,https://www.goodreads.com/book/show/8437379-call-me-irresistible,
Practice Makes Perfect,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult;Humor;Funny,March 3rd 2009,291,Berkley Sensation,English,0425226743,9780425226742,https://www.goodreads.com/book/show/5082599-practice-makes-perfect,
The Sky Is Everywhere,Jandy Nelson,Young Adult;Contemporary;Romance;Fiction,March 9th 2010,288,Dial Books,English,0803734956,9780803734951,https://www.goodreads.com/book/show/6604794-the-sky-is-everywhere,
Rock Chick,Kristen Ashley,Romance;Romance;Contemporary Romance;Contemporary;Humor;Funny,December 1st 2008,412,Youwriteon,English,1849231842,9781849231848,https://www.goodreads.com/book/show/6538757-rock-chick,
Wait for You,J. Lynn;Jennifer L. Armentrout,New Adult;Romance;Contemporary;Academic;College;Romance;Contemporary Romance;Young Adult,February 26th 2013,332,J. Lynn,,2940016231921,None,https://www.goodreads.com/book/show/17314430-wait-for-you,
The Boy Who Sneaks in My Bedroom Window,Kirsty Moseley,Romance;Young Adult;Contemporary;New Adult;Sociology;Abuse;Young Adult;High School,April 30th 2012,242,Createspace,English,1469984016,9781469984018,https://www.goodreads.com/book/show/13628209-the-boy-who-sneaks-in-my-bedroom-window,
That Boy,Jillian Dodd,Romance;Young Adult;Contemporary;New Adult,,287,bandit publishing,English,0985008628,9780985008628,https://www.goodreads.com/book/show/16168721-that-boy,
Heart on a Chain,Cindy C. Bennett,Young Adult;Romance;Sociology;Abuse;Contemporary;Young Adult;High School,January 15th 2011,322,,,B004JF4KNK,None,https://www.goodreads.com/book/show/10295484-heart-on-a-chain,
Fallen,Lauren Kate,,December 8th 2009,452,Delacorte Press,English,0385738935,9780385738934,https://www.goodreads.com/book/show/6487308-fallen,
Lock and Key,Sarah Dessen,Young Adult;Romance;Contemporary;Fiction,April 22nd 2008,432,Viking's Children's Books,English,067001088X,9780670010882,https://www.goodreads.com/book/show/1295102.Lock_and_Key,
Lover Eternal,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal;Vampires;Romance;Paranormal Romance;Fantasy,March 7th 2006,441,Signet,English,0451218043,9780451218049,https://www.goodreads.com/book/show/35729.Lover_Eternal,
Hex Hall,Rachel Hawkins,Young Adult;Fantasy;Fantasy;Paranormal;Fantasy;Magic;Paranormal;Vampires,March 2nd 2010,323,Hyperion Book CH,English,1423121309,9781423121305,https://www.goodreads.com/book/show/5287473-hex-hall,
Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English,014028009X,9780140280098,https://www.goodreads.com/book/show/227443.Bridget_Jones_s_Diary,
The Darkest Night,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Demons,May 3rd 2008,379,Harlequin,English,0373772467,9780373772469,https://www.goodreads.com/book/show/476543.The_Darkest_Night,
Natural Born Charmer,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Sports and Games;Sports;Contemporary Romance;Sports Romance,February 6th 2007,400,William Morrow,English,0060734574,9780060734572,https://www.goodreads.com/book/show/73064.Natural_Born_Charmer,
Delirium,Lauren Oliver,Young Adult;Science Fiction;Dystopia;Romance,February 7th 2012,441,HarperCollins,English,0061726834,9780061726835,https://www.goodreads.com/book/show/11614718-delirium,
Cross My Heart,Katie Klein,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit;New Adult,March 15th 2011,225,,,1230000005499,None,https://www.goodreads.com/book/show/10801027-cross-my-heart,
Pushing the Limits,Katie McGarry,Young Adult;Romance;Contemporary;New Adult,July 31st 2012,392,Harlequin Teen,English,0373210493,9780373210497,https://www.goodreads.com/book/show/10194514-pushing-the-limits,
Trust in Advertising,Victoria Michaels,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult,July 27th 2010,452,Omnific Publishing,,,9781936305292,https://www.goodreads.com/book/show/8599748-trust-in-advertising,
The Madness of Lord Ian Mackenzie,Jennifer Ashley,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Adult,May 1st 2009,320,Leisure Books,English,0843960434,9780843960433,https://www.goodreads.com/book/show/5981872-the-madness-of-lord-ian-mackenzie,
Ain't She Sweet,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction;Humor;Humor;Funny;Adult;Audiobook;American;Southern,,464,Piatkus,English,0749935081,9780749935085,https://www.goodreads.com/book/show/373606.Ain_t_She_Sweet,
Slave to Sensation,Nalini Singh,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Fantasy;Fantasy;Urban Fantasy;Paranormal;Shapeshifters,September 5th 2006,334,Berkley Sensation,,English,None,https://www.goodreads.com/book/show/178476.Slave_to_Sensation,
This Heart of Mine,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit;Contemporary Romance;Sports Romance,February 5th 2002,432,Avon,,0380808080,None,https://www.goodreads.com/book/show/73100.This_Heart_of_Mine,
Backstage Pass,Olivia Cunning,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Adult;Romance;Erotic Romance,October 1st 2010,344,Sourcebooks Casablanca,English,1402244428,9781402244421,https://www.goodreads.com/book/show/8379374-backstage-pass,
Devil in Winter,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,February 28th 2006,368,Avon,English,006056251X,9780060562519,https://www.goodreads.com/book/show/114166.Devil_in_Winter,
Taking Shots,Toni Aleo,Romance;Sports and Games;Sports;Contemporary Romance;Sports Romance;Romance;Contemporary Romance;Contemporary;Sports;Hockey,October 5th 2011,478,,,English,None,https://www.goodreads.com/book/show/12805465-taking-shots,
Pleasure Unbound,Larissa Ione,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy;Fantasy;Urban Fantasy;Paranormal;Vampires,July 1st 2008,389,Forever,English,044640103X,9780446401036,https://www.goodreads.com/book/show/2679633-pleasure-unbound,
Me Before You,Jojo Moyes,Romance;Fiction;Audiobook,December 31st 2012,369,Pamela Dorman Books/Viking,English,0670026603,9780670026609,https://www.goodreads.com/book/show/15507958-me-before-you,
Mr. Perfect,Linda Howard,Romance;Romance;Romantic Suspense;Suspense;Contemporary;Romance;Contemporary Romance;Mystery,July 1st 2003,405,Pocket Books,English,0743482883,9780743482882,https://www.goodreads.com/book/show/469901.Mr_Perfect,
The Thorn Birds,Colleen McCullough,Fiction;Historical;Historical Fiction;Romance;Historical Romance;Romance;Classics;Adult,June 1978,692,Avon Books,English,0380018179,9780380018178,https://www.goodreads.com/book/show/3412.The_Thorn_Birds,
North and South,Elizabeth Gaskell;Alan Shelston,Romance;Historical;Historical Fiction;Classics;Literature;19th Century;Historical,January 13th 1994,521,Penguin Books,English,0140620192,9780140620191,https://www.goodreads.com/book/show/156538.North_and_South,
Match Me If You Can,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Sports and Games;Sports;Contemporary Romance;Sports Romance,August 2006,388,AVON Books,English,0060734566,9780060734565,https://www.goodreads.com/book/show/73089.Match_Me_If_You_Can,
A Knight in Shining Armor,Jude Deveraux,Romance;Science Fiction;Time Travel;Romance;Historical Romance;Historical;Historical;Historical Fiction;Fiction,December 1st 2002,464,Pocket Books,English,0743457269,9780743457262,https://www.goodreads.com/book/show/73385.A_Knight_in_Shining_Armor,
Paradise,Judith McNaught,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Romance;Historical Romance,July 1st 2003,709,Pocket Books,English,0743474163,9780743474160,https://www.goodreads.com/book/show/16006.Paradise,
Unleashed,Cherrie Lynn,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica,February 1st 2010,218,Samhain Publishing,,,9781605045535,https://www.goodreads.com/book/show/7202825-unleashed,
Lover Unbound,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Romance;Fantasy;Urban Fantasy,October 1st 2007,502,Signet,English,0451222350,9780451222350,https://www.goodreads.com/book/show/304027.Lover_Unbound,
Nobody's Baby But Mine,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit;Contemporary Romance;Sports Romance,February 1st 1997,374,Avon Books,English,0380782340,9780380782345,https://www.goodreads.com/book/show/73080.Nobody_s_Baby_But_Mine,
The Coincidence of Callie & Kayden,Jessica Sorensen,New Adult;Romance;Contemporary;Young Adult;Sociology;Abuse,December 13th 2012,283,,,B00ANDLC6K,None,https://www.goodreads.com/book/show/16113791-the-coincidence-of-callie-kayden,
