Title,Authors,Genres,Year,Pages,Publisher,Language,ISBN,ISBN13,URL
Jerry Junior,Jean Webster,Romance;Fiction;Classics;Novels;Childrens;Humor;Young Adult,October 3rd 2005,148,Dodo Press,English,1406500143,9781406500141,https://www.goodreads.com/book/show/67245.Jerry_Junior,
The Little Melzy and Max The Robot; Episode 1 Vol.1,T.K. Layla,,March 7th 2015,37,Books for Kids :The Little Melzy and Max The Robot,None,English,None,https://www.goodreads.com/book/show/25103738-the-little-melzy-and-max-the-robot-episode-1-vol-1,
Finding Me Again,Amber Garza,Romance;Young Adult;Young Adult Romance;Young Adult,February 12th 2014,66,,;,English,None,https://www.goodreads.com/book/show/20805267-finding-me-again,
Beautiful Secret,Christina Lauren,Romance;Romance;Contemporary Romance;Contemporary;New Adult;Adult,April 14th 2015,401,Gallery Books,English,1476778019,9781476778013,https://www.goodreads.com/book/show/22431039-beautiful-secret,
Hiding in the Shadows,Kay Hooper,Mystery;Fantasy;Paranormal;Suspense;Romance;Romance;Romantic Suspense;Fiction,October 3rd 2000,339,Bantam,,,9780553576924,https://www.goodreads.com/book/show/625891.Hiding_in_the_Shadows,
The Summer Remains,Seth King,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Did Not Finish,February 14th 2015,344,,,B00S3W3OFK,None,https://www.goodreads.com/book/show/24619371-the-summer-remains,
Lingus,Mariana Zapata;Callie Dalton,Romance;Contemporary;Humor;Funny;Romance;Contemporary Romance;New Adult,January 26th 2016,None,Tantor Audio,English,1515951456,9781515951452,https://www.goodreads.com/book/show/27973984-lingus,
The Guardian,Margaret Mallory,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,May 1st 2011,354,Forever,English,044657516X,9780446575164,https://www.goodreads.com/book/show/9485409-the-guardian,
Slip of Fate,Hettie Ivers,Fantasy;Paranormal;Romance;Romance;Paranormal Romance;Paranormal;Shapeshifters;Fantasy;Magic,February 27th 2016,317,Hettie Ivers,,English,None,https://www.goodreads.com/book/show/29366409-slip-of-fate,
Silk Is for Seduction,Loretta Chase,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Historical;Regency,June 28th 2011,371,Avon,English,0061632686,9780061632686,https://www.goodreads.com/book/show/9466068-silk-is-for-seduction,
Charming the Shrew,Laurin Wittig,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Audiobook,February 14th 2012,324,Montlake Romance,,B006JTTGLU,None,https://www.goodreads.com/book/show/13451375-charming-the-shrew,
Here There Be Monsters,Meljean Brook,Science Fiction;Steampunk;Romance;Fantasy;Novella;Romance;Paranormal Romance;Short Stories,November 1st 2011,4,Audible,,B0061YX6V4,None,https://www.goodreads.com/book/show/13107963-here-there-be-monsters,
Tap & Gown,Diana Peterfreund,Womens Fiction;Chick Lit;Young Adult;Fiction;New Adult;Romance;Contemporary;Academic;College,May 19th 2009,352,Delta,English,0385341946,9780385341943,https://www.goodreads.com/book/show/6005277-tap-gown,
What A Dragon Should Know,G.A. Aiken,Fantasy;Fantasy;Dragons;Romance;Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Shapeshifters;Humor;Funny;Fantasy;Magic;Humor;Adult,,460,,,B002T18VFY,None,https://www.goodreads.com/book/show/8239860-what-a-dragon-should-know,
Touch Not the Cat,Mary  Stewart,Mystery;Fiction;Romance;Gothic;Romance;Romantic Suspense;Fantasy;Fantasy;Paranormal,November 29th 2005,372,HarperTorch,English,0060823720,9780060823726,https://www.goodreads.com/book/show/27690.Touch_Not_the_Cat,
To the Ends of the Earth,Elizabeth Lowell,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Audiobook;Historical;Romance;Love Story;Romance;Historical Romance;Romance;Romantic Suspense;Adult Fiction,May 1st 1998,384,Avon,English,0380767589,9780380767588,https://www.goodreads.com/book/show/505179.To_the_Ends_of_the_Earth,
Los príncipes azules también destiñen,Megan Maxwell,Womens Fiction;Chick Lit;Romance;Did Not Finish,September 17th 2012,405,Versatil Ediciones,None,,9788492929641,https://www.goodreads.com/book/show/15784825-los-pr-ncipes-azules-tambi-n-desti-en,
One Night with a Hero,Laura Kaye,Romance;Romance;Contemporary Romance;Contemporary;War;Military;Adult,October 20th 2012,173,Entangled Publishing; LLC (Brazen),,2940015495942,None,https://www.goodreads.com/book/show/16090231-one-night-with-a-hero,
Morning Light,Catherine Anderson,Romance;Romance;Contemporary Romance;Contemporary,January 2nd 2008,412,Signet Book,English,0451222776,9780451222770,https://www.goodreads.com/book/show/1702448.Morning_Light,
Unravel Me,Kendall Ryan,Romance;New Adult;Romance;Contemporary Romance;Adult Fiction;Erotica;Contemporary,September 22nd 2012,214,Createspace,,,9781479245710,https://www.goodreads.com/book/show/15838978-unravel-me,
Confederates,Thomas Keneally,Historical;Historical Fiction;Fiction;Military History;Civil War;American History;American Civil War;Cultural;Australia,January 1st 1980,427,HarperCollins Publishers,English,0060122994,9780060122997,https://www.goodreads.com/book/show/2435104.Confederates,
Saved by the Rancher,Jennifer Ryan,Romance;Romance;Romantic Suspense;Contemporary;Romance;Contemporary Romance;Westerns,February 26th 2013,295,Avon Impulse,,,9780062268020,https://www.goodreads.com/book/show/16089224-saved-by-the-rancher,
Try Me; Tempt Me; Take Me,Olivia Cunning,Romance;Adult Fiction;Erotica;Romance;Erotic Romance;Romance;Contemporary Romance,December 5th 2012,322,Vulpine Press,,,9781939276018,https://www.goodreads.com/book/show/16301297-try-me-tempt-me-take-me,
The Bride Collector,Ted Dekker,Christian;Thriller;Mystery Thriller,,384,Hodder & Stoughton,English,0340964987,9780340964989,https://www.goodreads.com/book/show/6884938-the-bride-collector,
The Forgotten Garden,Kate Morton,Fiction;Historical;Historical Fiction;Historical;Cultural;Australia;Romance,June 1st 2008,648,Pan Books,English,0330449605,9780330449601,https://www.goodreads.com/book/show/3407877-the-forgotten-garden,
Until November,Aurora Rose Reynolds,New Adult;Contemporary;Romance;Contemporary Romance;Did Not Finish,September 19th 2013,291,,,English,None,https://www.goodreads.com/book/show/18341046-until-november,
Due di due,Andrea De Carlo,Fiction;Cultural;Italy;Novels;European Literature;Italian Literature;Contemporary;Realistic Fiction;Slice Of Life;Classics;Academic;School,,385,Mondadori,Italian,8804342838,9788804342830,https://www.goodreads.com/book/show/209720.Due_di_due,
Daddy-Long-Legs,Jean Webster,Classics;Young Adult;Fiction;Romance;Historical;Historical Fiction,May 1st 1988,None,Scholastic,English,0590434071,9780590434072,https://www.goodreads.com/book/show/1713272.Daddy_Long_Legs,
Talania: A Trip down Memory Lane,Crystal Spears,Romance;New Adult;Contemporary;Academic;College;Romance;Contemporary Romance;Young Adult,September 28th 2013,None,,None,,None,https://www.goodreads.com/book/show/16245911-talania,
Wide Open,Shelly Crane,New Adult;Romance;Contemporary;Young Adult,January 7th 2014,259,,None,,None,https://www.goodreads.com/book/show/17794535-wide-open,
Masque of the Red Death,Bethany Griffin,Young Adult;Science Fiction;Steampunk;Science Fiction;Dystopia;Fantasy;Romance,April 24th 2012,319,Greenwillow Books,English,0062107798,9780062107794,https://www.goodreads.com/book/show/12924275-masque-of-the-red-death,
Getting Lucky,Carolyn Brown,Romance;Westerns;Romance;Contemporary Romance;Contemporary,January 1st 2010,405,Sourcebooks Casablanca,English,1402224362,9781402224362,https://www.goodreads.com/book/show/6555565-getting-lucky,
My Dad is A Superman,Auntie Ann,,March 15th 2015,12,Bedtime Stories : My Dad is A Superman,None,English,None,https://www.goodreads.com/book/show/25160929-my-dad-is-a-superman,
Tripping Me Up,Amber Garza,Romance;Young Adult;Contemporary;New Adult;Young Adult;High School;Sociology;Abuse,August 1st 2013,285,,,,None,https://www.goodreads.com/book/show/18144279-tripping-me-up,
The Search,Iris Johansen,Mystery;Suspense;Fiction;Thriller,July 25th 2006,308,Bantam Books,English,0553589482,9780553589481,https://www.goodreads.com/book/show/94299.The_Search,
Invincible Summer,Seth King,Romance;New Adult;Did Not Finish;Death,November 17th 2015,332,,None,English,None,https://www.goodreads.com/book/show/27215165-invincible-summer,
The Lion and the Crow,Eli Easton,Romance;M M Romance;Historical;Romance;Romance;Historical Romance;Historical;Historical Fiction,January 19th 2015,146,Dreamspinner Press,;,English,None,https://www.goodreads.com/book/show/24572160-the-lion-and-the-crow,
The Truth About Tequila: Believe in Me,Nikki Belaire,,December 7th 2016,178,Happy Drunk Productions,,English,None,https://www.goodreads.com/book/show/33232747-the-truth-about-tequila,
Tethered,Meljean Brook,Science Fiction;Steampunk;Romance;Novella;Fantasy,April 2nd 2013,187,Berkley Sensation,,,None,https://www.goodreads.com/book/show/14896828-tethered,
Suzanne's Diary for Nicholas,James Patterson,Romance;Fiction;Womens Fiction;Chick Lit;Contemporary,August 1st 2003,289,Vision,English,0446611085,9780446611084,https://www.goodreads.com/book/show/7494.Suzanne_s_Diary_for_Nicholas,
Ill Wind,Rachel Caine,Fantasy;Urban Fantasy;Fantasy;Fantasy;Paranormal;Romance;Fiction;Fantasy;Magic;Romance;Paranormal Romance,December 2nd 2003,337,Ace Books,English,0451459520,9780451459527,https://www.goodreads.com/book/show/86451.Ill_Wind,
The Mad Earl's Bride,Loretta Chase,Romance;Historical Romance;Romance;Historical;Novella;Historical;Regency;Historical;Historical Fiction,June 4th 2013,100,Avon Impulse,,0062276999,9780062276995,https://www.goodreads.com/book/show/17132895-the-mad-earl-s-bride,
The Substitute Wife,Dallas Schulze,Contemporary;Romance;Contemporary Romance;Romance,April 1st 2003,376,Mira Books,English,1551666774,9781551666778,https://www.goodreads.com/book/show/519087.The_Substitute_Wife,
In the Shadow of Midnight,Marsha Canham,Romance;Romance;Historical Romance;Historical;Medieval;Historical;Historical;Historical Fiction,March 5th 1994,407,Dell,English,0440206138,9780440206132,https://www.goodreads.com/book/show/707604.In_the_Shadow_of_Midnight,
Perfect Weapon,Amy J. Fetzer,Romance;Romantic Suspense;Romance;Contemporary;Suspense;War;Military,March 1st 2006,352,Kensington,English,0758211058,9780758211057,https://www.goodreads.com/book/show/387931.Perfect_Weapon,
Midnight Rainbow,Linda Howard,Romance;Romance;Romantic Suspense;Suspense;Contemporary;Romance;Contemporary Romance,December 1st 1996,256,Mira Books,English,1551661535,9781551661537,https://www.goodreads.com/book/show/350523.Midnight_Rainbow,
Keep Holding On,Susane Colasanti,Young Adult;Contemporary;Romance;Realistic Fiction;Sociology;Abuse,May 31st 2012,224,Viking Juvenile,English,0670012254,9780670012251,https://www.goodreads.com/book/show/12075886-keep-holding-on,
Retribution,Sherrilyn Kenyon;Holter Graham,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Vampires,August 2nd 2011,None,Macmillan Audio,English,1427212414,9781427212412,https://www.goodreads.com/book/show/9881394-retribution,
Deseo Concedido,Megan Maxwell,Romance;Romance;Historical Romance,March 9th 2010,552,La Esfera de los Libros,Spanish,8497349466,9788497349468,https://www.goodreads.com/book/show/8332738-deseo-concedido,
Night Watch,Suzanne Brockmann,Romance;Romance;Romantic Suspense;Contemporary;War;Military;Suspense;Romance;Contemporary Romance,September 2003,256,Silhouette Books,English,0373273134,9780373273133,https://www.goodreads.com/book/show/57989.Night_Watch,
Fallen from Grace,Laura Leone,Romance;Contemporary Romance;Romance;Contemporary;Adult;Adult Fiction;Erotica,June 1st 2004,383,Five Star Trade,English,1410401812,9781410401816,https://www.goodreads.com/book/show/1531433.Fallen_from_Grace,
Make Me Yours,Kendall Ryan,Romance;New Adult;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica,November 10th 2012,238,Createspace,,,9781479318865,https://www.goodreads.com/book/show/16051900-make-me-yours,
The Shadow Of The Sun,Sylvia Pell,,,None,,None,0006155804,9780006155805,https://www.goodreads.com/book/show/4290088-the-shadow-of-the-sun,
Worth the Weight,Mara Jacobs,Romance;Womens Fiction;Chick Lit;Contemporary;Romance;Contemporary Romance,October 7th 2012,360,Self,,English,None,https://www.goodreads.com/book/show/15995762-worth-the-weight,
Share Me,Olivia Cunning,Adult Fiction;Erotica;Romance;Erotica;Menage,March 27th 2013,84,Vulpine Press,,English,None,https://www.goodreads.com/book/show/17701081-share-me,
Bittersweet,Cathy Marie Hake,Christian Fiction;Historical;Historical Fiction;Christian;Romance;Romance;Christian Romance;Historical,April 1st 2007,400,Bethany House Publishers,English,0764201662,9780764201660,https://www.goodreads.com/book/show/816748.Bittersweet,
Love Irresistibly,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult,April 2nd 2013,274,Berkley Sensation,English,042525195,9780425251195,https://www.goodreads.com/book/show/15544715-love-irresistibly,
Il postino di Neruda,Antonio Skármeta;Andrea Donati,Fiction;Romance;Novels,,121,Garzanti,Italian,8811668204,9788811668206,https://www.goodreads.com/book/show/790280.Il_postino_di_Neruda,
Shades of Honor,Wendy Lindstrom,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Westerns,December 21st 2010,304,Rustic Studio Publishing,,English,None,https://www.goodreads.com/book/show/18303678-shades-of-honor,
Rose in Bloom,Louisa May Alcott,Fiction;Young Adult;Classics;Romance;Historical;Historical Fiction;Childrens,July 1st 1990,320,Yearling,English,0440475880,9780440475880,https://www.goodreads.com/book/show/1294386.Rose_in_Bloom,
Devour,Shelly Crane,Fantasy;Paranormal;Young Adult;Romance;Romance;Paranormal Romance;Fantasy,October 31st 2011,273,,,B006287MG4,None,https://www.goodreads.com/book/show/12999514-devour,
Sovereign Hope,Frankie Rose,Fantasy;Paranormal;Young Adult;Fantasy;Romance;Romance;Paranormal Romance,July 1st 2012,391,CreateSpace,English,1477553371,9781477553374,https://www.goodreads.com/book/show/13645671-sovereign-hope,
One Lucky Cowboy,Carolyn Brown,Romance;Romance;Contemporary Romance;Westerns;Contemporary,November 1st 2009,336,Sourcebooks Casablanca,English,1402224370,9781402224379,https://www.goodreads.com/book/show/6658328-one-lucky-cowboy,
The Killing Hour,Lisa Gardner,Mystery;Mystery;Crime;Thriller;Mystery Thriller;Thriller,September 28th 2004,434,Bantam,English,0553584529,9780553584523,https://www.goodreads.com/book/show/759900.The_Killing_Hour,
Roommates,Erin Leigh;Tara Brown,Romance;New Adult;Sports and Games;Sports;Contemporary Romance;Sports Romance;Contemporary;Sports;Hockey;Romance;Contemporary Romance,October 24th 2015,300,,,English,None,https://www.goodreads.com/book/show/27276645-roommates,
Porn Star,Laurelin Paige;Sierra Simone,Romance;Adult Fiction;Erotica;Did Not Finish;Romance;Contemporary Romance;Contemporary;New Adult,March 8th 2016,286,,,English,None,https://www.goodreads.com/book/show/29418691-porn-star,
Thin Love,Eden Butler,Sports and Games;Sports;Romance;Romance;Contemporary Romance;New Adult;Academic;College,August 18th 2014,481,Smashwords Edition,,,9781310624155,https://www.goodreads.com/book/show/21945749-thin-love,
The Turning,Lucian Bane,Fantasy;Paranormal;Fantasy;Romance;Paranormal Romance;Paranormal;Angels;Romance;Fantasy Romance;Romance,November 24th 2014,107,Amazon Digital Services; Inc.,,English,None,https://www.goodreads.com/book/show/23622387-the-turning,
The Truth About Tequila,Nikki Belaire,Thriller;Romance,April 2016,None,,,English,None,https://www.goodreads.com/book/show/29360234-the-truth-about-tequila,
The Secrets of Sir Richard Kenworthy,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Historical Romance;Regency Romance,January 27th 2015,378,Avon,,,9780062072948,https://www.goodreads.com/book/show/22046656-the-secrets-of-sir-richard-kenworthy,
Magic in the Blood,Devon Monk,Fantasy;Urban Fantasy;Fantasy;Fantasy;Paranormal;Fantasy;Magic;Romance,May 5th 2009,358,New American Library,English,045146267X,9780451462671,https://www.goodreads.com/book/show/5264557-magic-in-the-blood,
Mina Wentworth and the Invisible City,Meljean Brook,Science Fiction;Steampunk;Romance;Fantasy;Novella;Romance;Paranormal Romance;Historical;Fantasy;Paranormal;Fiction;Short Stories;Mystery,August 7th 2012,104,Berkley,English,1101564636,9781101564639,https://www.goodreads.com/book/show/13409407-mina-wentworth-and-the-invisible-city,
The Silent Waters,Brittainy C. Cherry,Romance;New Adult;Contemporary;Romance;Contemporary Romance,September 22nd 2016,316,BCherry Books Publishing,None,,None,https://www.goodreads.com/book/show/29963453-the-silent-waters,
One Winter with a Baron,Christi Caldwell,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Historical;Regency;Holiday;Christmas,November 29th 2016,132,Christi Caldwell Ink.,,English,None,https://www.goodreads.com/book/show/33164857-one-winter-with-a-baron,
Night Storm,Catherine Coulter,Romance;Romance;Historical Romance;Historical;Fiction;Historical;Historical Fiction;Historical;Regency;Adult;European Literature;British Literature;Historical Romance;Regency Romance;Suspense,September 3rd 2002,393,Avon,English,0380756234,9780380756230,https://www.goodreads.com/book/show/958660.Night_Storm,
A Little Less Girl,Tess Oliver,Young Adult;Romance;Contemporary;Mystery;Young Adult;High School,August 18th 2011,236,,None,English,None,https://www.goodreads.com/book/show/12397954-a-little-less-girl,
White Lies,Linda Howard,Romance;Romance;Romantic Suspense;Contemporary;Romance;Contemporary Romance;Suspense;Fiction,October 1st 2003,256,Mira Books,English,1551667339,9781551667331,https://www.goodreads.com/book/show/104678.White_Lies,
Sins of the Night,Sherrilyn Kenyon,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Vampires;Fantasy;Urban Fantasy,June 28th 2005,331,St. Martin's Press,English,0312934327,9780312934323,https://www.goodreads.com/book/show/84135.Sins_of_the_Night,
Fairest of Them All,Teresa Medeiros,Romance;Romance;Historical Romance;Historical;Historical;Medieval;Historical;Historical Fiction,January 12th 2011,372,Bantam Books,English,0553563335,9780553563337,https://www.goodreads.com/book/show/833685.Fairest_of_Them_All,
Last Dragon Standing,G.A. Aiken,Fantasy;Fantasy;Dragons;Romance;Paranormal Romance;Romance;Fantasy;Paranormal;Paranormal;Shapeshifters,September 1st 2010,470,Zebra Books,,B003IYI836,None,https://www.goodreads.com/book/show/8539109-last-dragon-standing,
The Awakening / The Struggle,L.J. Smith,Paranormal;Vampires;Fantasy;Paranormal;Young Adult;Romance,June 26th 2007,492,HarperTeen,English,006114097X,9780061140976,https://www.goodreads.com/book/show/395871.The_Awakening_The_Struggle,
Thomas & January,Fisher Amelie,Romance;New Adult;Contemporary;Young Adult,June 15th 2012,155,Fisher Amelie,,2940014703307,None,https://www.goodreads.com/book/show/13598244-thomas-january,
Outsider,Micalea Smeltzer,Shapeshifters;Werewolves;Fantasy;Paranormal;Young Adult;Romance;Fantasy;Paranormal;Shapeshifters,March 26th 2012,322,CreateSpace Independent Publishing Platform,English,1475102194,9781475102192,https://www.goodreads.com/book/show/13562180-outsider,
Avoiding Intimacy,K.A. Linde,Romance;New Adult;Romance;Contemporary Romance;Contemporary;Novella,February 26th 2013,170,K.A. Linde,,2940016202839,None,https://www.goodreads.com/book/show/17210208-avoiding-intimacy,
The Kentuckians,Janice Holt Giles,Historical;Historical Fiction;Fiction,January 4th 1988,248,University Press of Kentucky,English,0813101778,9780813101774,https://www.goodreads.com/book/show/1083909.The_Kentuckians,
Worth the Drive,Mara Jacobs,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Sports and Games;Sports,October 7th 2012,302,Mara Jacobs,,English,None,https://www.goodreads.com/book/show/16040242-worth-the-drive,
Touch Me,Olivia Cunning,Adult Fiction;Erotica;Romance;Romance;Erotic Romance;Romance;Contemporary Romance,April 19th 2013,158,Smashwords,,,9781939276070,https://www.goodreads.com/book/show/16112637-touch-me,
Under a Lucky Star,Diane Farr,Romance;Historical;Historical;Regency;Romance;Historical Romance;Fiction,April 6th 2004,352,Signet,English,0451211707,9780451211705,https://www.goodreads.com/book/show/250546.Under_a_Lucky_Star,
The Girls' Guide to Hunting and Fishing,Melissa Bank,Womens Fiction;Chick Lit;Fiction;Short Stories;Contemporary;Romance,March 29th 2005,288,Penguin Books,English,0143035479,9780143035473,https://www.goodreads.com/book/show/33926.The_Girls_Guide_to_Hunting_and_Fishing,
Endless Magic,Rachel Higginson,Fantasy;Paranormal;Young Adult;Fantasy;Fantasy;Magic;Romance;Romance;Paranormal Romance,February 14th 2012,349,,,English,None,https://www.goodreads.com/book/show/13480769-endless-magic,
The Distant Hours,Kate Morton,Historical;Historical Fiction;Fiction;Mystery;Historical;Gothic,November 9th 2010,562,Atria,English,1439152780,9781439152782,https://www.goodreads.com/book/show/6746018-the-distant-hours,
Di tutte le ricchezze,Stefano Benni,Fiction;Contemporary,September 26th 2012,208,Feltrinelli,Italian,8807019108,9788807019104,https://www.goodreads.com/book/show/16055880-di-tutte-le-ricchezze,
Chasing Charlie,C.M. Newman,Romance;Christian;Christian Fiction;Fiction,,803,,None,English,None,https://www.goodreads.com/book/show/17825764-chasing-charlie,
La prochaine fois,Marc Levy,Romance;Cultural;France;Fiction;Contemporary,February 15th 2005,259,Pocket,French,2266147722,9782266147729,https://www.goodreads.com/book/show/182671.La_prochaine_fois,
Consume,Shelly Crane,Fantasy;Paranormal;Romance;Paranormal Romance;Young Adult;Romance;Fantasy;Supernatural,May 17th 2012,237,,,B0084HAYF2,None,https://www.goodreads.com/book/show/13009523-consume,
Lucky in Love,Carolyn Brown,Romance;Romance;Contemporary Romance;Westerns;Contemporary,September 1st 2009,293,Sourcebooks Casablanca,English,1402224354,9781402224355,https://www.goodreads.com/book/show/6712942-lucky-in-love,
From Now Until Infinity,Layne Harper,Sports and Games;Sports;Romance;Contemporary Romance;Sports Romance;Romance;Contemporary Romance;New Adult,August 13th 2013,207,,,English,None,https://www.goodreads.com/book/show/18172215-from-now-until-infinity,
Siyah Damar,Tarryn Fisher;Merve Altıparmak,Dark;Romance;New Adult;Contemporary;Mystery;Suspense;Adult,November 17th 2014,344,Aspendos Yayınları,,9786055175689,None,https://www.goodreads.com/book/show/23566782-siyah-damar,
The Wrecked and Ruined Series Box Set,Aly Martinez,Romance;Contemporary Romance,January 12th 2015,1045,Aly Martinez,,English,None,https://www.goodreads.com/book/show/24481258-the-wrecked-and-ruined-series-box-set,
Desecrating Solomon 3,Lucian Bane,Dark;Suspense;Romance;Erotic Romance;Horror,November 15th 2016,173,,,English,None,https://www.goodreads.com/book/show/32996768-desecrating-solomon-3,
Wine & Whiskey: Everything for You,Nikki Belaire,,September 11th 2015,316,Happy Drunk Productions; LLC,,English,None,https://www.goodreads.com/book/show/26407440-wine-whiskey,
Riveted,Meljean Brook,Science Fiction;Steampunk;Romance;Fantasy;Romance;Paranormal Romance;Adventure,September 4th 2012,413,Berkley Trade,English,0425256049,9780425256046,https://www.goodreads.com/book/show/13409405-riveted,
Hidden Fires,Sandra Brown,Romance;Romance;Historical Romance;Historical;Westerns,May 1st 1997,356,Warner Books (NY),English,0446605697,9780446605694,https://www.goodreads.com/book/show/30402.Hidden_Fires,
Magic Burns,Ilona Andrews,Fantasy;Urban Fantasy;Fantasy;Fantasy;Paranormal;Fantasy;Magic;Paranormal;Vampires;Romance;Romance;Paranormal Romance;Paranormal;Shapeshifters,April 2008,260,Berkley Publishing Group,English,0441015832,9780441015832,https://www.goodreads.com/book/show/1811543.Magic_Burns,
The Gravity of Us,Brittainy C. Cherry,Romance;Romance;Contemporary Romance;New Adult;Contemporary,April 13th 2017,270,,,English,None,https://www.goodreads.com/book/show/32294951-the-gravity-of-us,
Marrying Winterborne,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,May 31st 2016,416,Avon,English,0062371843,9780062371843,https://www.goodreads.com/book/show/26242354-marrying-winterborne,
Surrender of a Siren,Tessa Dare,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction;Fiction,August 25th 2009,384,Ballantine Books,English,0345506871,9780345506870,https://www.goodreads.com/book/show/6014614-surrender-of-a-siren,
Hollowmen,Amanda Hocking,Horror;Zombies;Young Adult;Science Fiction;Dystopia;Fantasy;Paranormal,November 10th 2011,194,Fraggin Aardvark,,,None,https://www.goodreads.com/book/show/10579347-hollowmen,
Girl at Sea,Maureen Johnson,Young Adult;Romance;Contemporary;Fiction;Womens Fiction;Chick Lit;Young Adult;Teen,May 29th 2007,323,HarperTeen,English,006054144X,9780060541446,https://www.goodreads.com/book/show/357105.Girl_at_Sea,
The Gift: Home for Christmas / All I Want for Christmas,Nora Roberts,Romance;Holiday;Christmas;Romance;Contemporary Romance;Holiday;Fiction;Contemporary,October 1st 2004,217,Silhouette Books,English,0373218168,9780373218165,https://www.goodreads.com/book/show/59826.The_Gift,
Nine Coaches Waiting,Mary  Stewart;Sandra Brown,Mystery;Romance;Fiction;Gothic;Historical;Historical Fiction;Romance;Romantic Suspense;Suspense,May 1st 2006,342,Chicago Review Press,English,1556526180,9781556526183,https://www.goodreads.com/book/show/27695.Nine_Coaches_Waiting,
Rebellion,Nora Roberts,Romance;Romance;Historical Romance;Historical;Fiction,November 14th 2006,395,Silhouette,English,0373285434,9780373285433,https://www.goodreads.com/book/show/26047.Rebellion,
Prince Joe,Suzanne Brockmann,Romance;Romance;Romantic Suspense;War;Military;Contemporary;Romance;Contemporary Romance;Suspense,May 1st 2002,249,Mira Books,English,155166948X,9781551669489,https://www.goodreads.com/book/show/414690.Prince_Joe,
Red Adam's Lady,Grace Ingram,Historical;Fiction;Historical;Historical Fiction;Adult,January 30th 1973,285,Harper Collins,English,0002216973,9780002216975,https://www.goodreads.com/book/show/1012738.Red_Adam_s_Lady,
Worth The Fall,Mara Jacobs,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit,December 23rd 2012,240,Copper Country Press LLC,,English,None,https://www.goodreads.com/book/show/17181855-worth-the-fall,
Ransom My Heart,Meg Cabot;Mia Thermopolis,Romance;Historical;Historical Fiction;Romance;Historical Romance;Historical;Womens Fiction;Chick Lit;Young Adult,January 6th 2009,396,William Morrow Paperbacks,English,006170007X,9780061700071,https://www.goodreads.com/book/show/4067103-ransom-my-heart,
Tie Me,Olivia Cunning,Adult Fiction;Erotica;Romance;Erotica;Bdsm;Music,June 14th 2013,159,Vulpine Press,,B00DE50M2E,None,https://www.goodreads.com/book/show/17832487-tie-me,
Pleasure for Pleasure,Eloisa James,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Historical Romance;Regency Romance,November 28th 2006,404,Avon Books,English,0060781920,9780060781927,https://www.goodreads.com/book/show/428677.Pleasure_for_Pleasure,
Fearless Magic,Rachel Higginson,Fantasy;Paranormal;Fantasy;Magic;Fantasy;Young Adult;Romance;Paranormal Romance,October 22nd 2011,300,,,English,None,https://www.goodreads.com/book/show/12955738-fearless-magic,
Il grano in erba,Colette;Gabriella Luzzani,Cultural;France;Classics;Literature;20th Century;Romance;Novels;European Literature;French Literature,June 1st 1991,148,Adelphi,Italian,8845908232,9788845908231,https://www.goodreads.com/book/show/14288997-il-grano-in-erba,
No More Wasted Time,Beverly Preston,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Contemporary,January 16th 2012,360,Beverly Preston,,English,None,https://www.goodreads.com/book/show/13450545-no-more-wasted-time,
Où es-tu ?,Marc Levy,Cultural;France;Romance;Fiction,January 13th 2003,312,Pocket,French,226612269X,9782266122696,https://www.goodreads.com/book/show/123765.O_es_tu_,
Altered,Shelly Crane,Fantasy;Paranormal;Young Adult;Romance;Paranormal Romance;Fantasy;Romance,May 19th 2014,236,,,B00KGIXEIG,None,https://www.goodreads.com/book/show/22258223-altered,
The Program,Suzanne Young,Young Adult;Science Fiction;Dystopia;Romance,April 30th 2013,405,Simon Pulse,English,1442445807,9781442445802,https://www.goodreads.com/book/show/11366397-the-program,
The Seduction of His Wife,Janet Chapman,Romance;Romance;Contemporary Romance;Contemporary;Fiction,July 1st 2006,338,Pocket Star,English,141650527X,9781416505273,https://www.goodreads.com/book/show/192203.The_Seduction_of_His_Wife,
