id,Title,Authors,Genres,Publishing Date,Pages,Publisher,Language,,,,,,,,,,
61,One with You : A Crossfire Novel,Sylvia Day,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,11 Apr 2016,480,Penguin Books Ltd,English,,,,,,,,,,
62,A Walk to Remember,Nicholas Sparks,Contemporary Fiction:Romance:Romance Books,01 Sep 2000,240,Warner Books (NY),English,,,,,,,,,,
63,The Hypnotist's Love Story,Liane Moriarty,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Aug 2012,528,Penguin Books Ltd,English,,,,,,,,,,
64,Big Little Lies : Now an HBO limited series,Liane Moriarty,Contemporary Fiction:Crime:Crime Fiction:Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Family & Relationships,20 Apr 2017,496,Penguin Books Ltd,English,,,,,,,,,,
65,Pride and Prejudice,Jane Austen:Vivien Jones:Tony Tanner,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance:People & Places,30 Jan 2003,448,Penguin Books Ltd,English,,,,,,,,,,
66,The Sky Is Everywhere,Jandy Nelson,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Children's Fiction:Children's General Story Books:Family,05 Feb 2015,320,Walker Books Ltd,English,,,,,,,,,,
67,Dr Jekyll and Mr Hyde,Robert Louis Stevenson,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,06 Dec 2012,128,Penguin Books Ltd,English,,,,,,,,,,
68,The Last Letter from Your Lover,Jojo Moyes,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Dec 2016,512,Hodder & Stoughton General Division,English,,,,,,,,,,
69,After You,Jojo Moyes,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Jun 2016,448,Penguin Books Ltd,English,,,,,,,,,,
70,The Pearl Sister,Lucinda Riley,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction,02 Nov 2017,704,Pan MacMillan,English,,,,,,,,,,
71,Crazy Rich Asians : The international bestseller now a major film in 2018,Kevin Kwan,Contemporary Fiction:Romance:Romance Books,01 May 2014,416,ATLANTIC BOOKS,English,,,,,,,,,,
72,Call Me by Your Name : A Novel,Andre Aciman,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Oct 2017,256,Picador/Farrar Straus and Giroux,English,,,,,,,,,,
73,Graceling,Kristin Cashore,Fantasy:Fantasy Books:Romance:Romance Books:Sci Fi Books for Kids,03 Sep 2009,400,Orion Publishing Co,English,,,,,,,,,,
74,China Rich Girlfriend : There's Rich There's Filthy Rich and Then There's China Rich...,Kevin Kwan,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,19 Jul 2016,400,Allen & Unwin,English,,,,,,,,,,
75,The Bronze Horseman,Paullina Simons,Military Fiction:Historical Romance:Historical Romance:Historical Fiction,08 Sep 2009,810,HarperCollins Publishers Inc,English,,,,,,,,,,
76,Lover Avenged,J R Ward,Romance:Romance Books,25 Jul 2011,655,Penguin Putnam Inc,English,,,,,,,,,,
77,Giovanni's Room,James Baldwin,Contemporary Fiction:Romance:Romance Books,01 May 2010,160,Penguin Books Ltd,English,,,,,,,,,,
78,Rebecca,Daphne du Maurier,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,08 Jul 2011,380,HarperCollins Publishers Inc,English,,,,,,,,,,
79,The Notebook,Nicholas Sparks,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Dec 2014,240,Little Brown Book Group,English,,,,,,,,,,
80,"The Princess Bride : S. Morgenstern's Classic Tale of True Love and High Adventure; The ""Good Parts"" Version",William Goldman,Classic Books & Novels:Adventure Books:Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,06 Feb 2008,456,Harcourt Children's Books,English,,,,,,,,,,
81,The Storm Sister,Lucinda Riley,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Apr 2016,720,Pan MacMillan,English,,,,,,,,,,
82,Craving : Steel Brothers: One,Helen Hardt,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 May 2016,288,Waterhouse Press,English,,,,,,,,,,
83,The Perfect Hope : The Inn Boonsboro Trilogy,Nora Roberts,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Nov 2012,336,Penguin Putnam Inc,English,,,,,,,,,,
84,Unraveled : Steel Brothers: Nine,Helen Hardt,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,13 Feb 2018,288,Waterhouse Press,English,,,,,,,,,,
85,Maybe Someday,Colleen Hoover,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Mar 2014,370,SIMON & SCHUSTER,English,,,,,,,,,,
86,Lover Unleashed,J R Ward,Romance:Romance Books,01 Nov 2011,548,Penguin Putnam Inc,English,,,,,,,,,,
87,The Shadow Sister,Lucinda Riley,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction:Sci Fi Books for Kids,20 Apr 2017,704,Pan MacMillan,English,,,,,,,,,,
88,The Time Traveler's Wife,Audrey Niffenegger,Contemporary Fiction:Romance:Romance Books,02 Sep 2009,624,Vintage Publishing,English,,,,,,,,,,
89,The One Plus One,Jojo Moyes,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Feb 2015,560,Penguin Books Ltd,English,,,,,,,,,,
90,The Black Moon,Winston Graham,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,04 Jun 2008,560,Pan MacMillan,English,,,,,,,,,,
91,Confess,Colleen Hoover,Romance:Romance Books,20 Oct 2015,320,Simon & Schuster Ltd,English,,,,,,,,,,
92,Lover Mine : A Novel of the Black Dagger Brotherhood,J R Ward,Romance:Romance Books,25 Jul 2011,633,Penguin Putnam Inc,English,,,,,,,,,,
93,Captive Prince : Book One of the Captive Prince Trilogy,C. S. Pacat,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,23 Apr 2015,292,Penguin Putnam Inc,English,,,,,,,,,,
94,Beneath a Scarlet Sky : A Novel,Mark T. Sullivan,Contemporary Fiction:World War 2 Fiction:Romance:Romance Books:Sagas:Historical Fiction,01 May 2017,524,Amazon Publishing,English,,,,,,,,,,
95,Fire After Dark (After Dark Book 1),Sadie Matthews,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Aug 2012,384,Hodder & Stoughton General Division,English,,,,,,,,,,
96,Shogun : A Novel of Japan,James Clavell,Contemporary Fiction:Adventure Books:Historical Romance:Historical Romance:Sagas:Historical Fiction,01 Sep 2011,1210,Bantam Doubleday Dell Publishing Group Inc,English,,,,,,,,,,
97,The Left Hand of Darkness,Ursula K. LeGuin,Science Fiction:Science Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,13 Apr 2017,336,Orion Publishing Co,English,,,,,,,,,,
98,Warleggan,Winston Graham,Contemporary Fiction:Historical Romance:Historical Romance:Sagas:Historical Fiction,06 Jun 2008,480,Pan MacMillan,English,,,,,,,,,,
99,The Light We Lost,Jill Santopolo,Contemporary Fiction:Romance:Romance Books,22 Feb 2018,320,HarperCollins Publishers,English,,,,,,,,,,
100,Billy and Me,Giovanna Fletcher,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,23 May 2013,432,Penguin Books Ltd,English,,,,,,,,,,
101,Sense and Sensibility (Vintage Classics Austen Series),Jane Austen:Francesca Segal,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,01 Nov 2014,464,Vintage Publishing,English,,,,,,,,,,
102,Dear John,Nicholas Sparks,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Dec 2009,335,Time Warner Trade Publishing,English,,,,,,,,,,
103,Virgins : An Outlander Short Story,Diana Gabaldon,Historical Adventure:Historical Romance:Historical Romance:Historical Fiction,18 Nov 2016,256,Cornerstone,English,,,,,,,,,,
104,Still Me : The No. 1 Sunday Times Bestseller,Jojo Moyes,Contemporary Fiction:Romance:Romance Books,23 Jan 2018,480,Penguin Books Ltd,English,,,,,,,,,,
105,The Last Boyfriend,Nora Roberts,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 May 2012,336,Penguin Putnam Inc,English,,,,,,,,,,
106,See Me,Nicholas Sparks,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Jun 2016,512,Little Brown Book Group,English,,,,,,,,,,
107,The Sparsholt Affair,Alan Hollinghurst,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Sep 2017,464,Pan MacMillan,English,,,,,,,,,,
108,Wuthering Heights,Emily Bronte,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,06 Dec 2012,384,Penguin Books Ltd,English,,,,,,,,,,
109,Without Merit : A Novel,Colleen Hoover,Contemporary Fiction:Thriller Books:Thrillers:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Oct 2017,384,Atria Books,English,,,,,,,,,,
110,The Choice,Nicholas Sparks,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Apr 2009,317,Time Warner Trade Publishing,English,,,,,,,,,,
111,Beautiful Bastard,Christina Lauren,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Dec 2013,320,SIMON & SCHUSTER,English,,,,,,,,,,
112,Love Rosie,Cecelia Ahern,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Dec 2006,503,Hyperion Books,English,,,,,,,,,,
113,Captivated by You,Sylvia Day,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,18 Nov 2014,356,Berkley Books,English,,,,,,,,,,
114,Twisted,Helen Hardt,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Dec 2017,288,Waterhouse Press,English,,,,,,,,,,
115,Still Me : The No. 1 Sunday Times Bestseller,Jojo Moyes,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jan 2018,480,Penguin Books Ltd,English,,,,,,,,,,
116,Emma (Vintage Classics Austen Series),Jane Austen:Sir Andrew Motion,Classic Books & Novels:Romance:Romance Books,01 Nov 2014,592,Vintage Publishing,English,,,,,,,,,,
117,Something Blue,Emily Giffin,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Apr 2011,374,St Martin's Press,English,,,,,,,,,,
118,Lover Reborn,J R Ward,Horror:Horror:Romance:Romance Books,02 Oct 2012,627,Penguin Putnam Inc,English,,,,,,,,,,
119,Crossing to Safety,Wallace Stegner:Tempest Williams,Contemporary Fiction:Classic Books & Novels:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Apr 2008,352,Random House USA Inc,English,,,,,,,,,,
120,Persuasion (Vintage Classics Austen Series),Jane Austen:Lynne Truss:Francesca Segal,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,01 Nov 2014,320,Vintage Publishing,English,,,,,,,,,,
121,Hopeless,Colleen Hoover,Fiction Books:Thriller Books:Thrillers:Romance:Romance Books:Thriller Books for Children:Romance Books for Teenagers,07 May 2013,384,Atria Books,English,,,,,,,,,,
122,Crave : A Novel of the Fallen Angels,J R Ward,Thriller Books:Thrillers:Horror:Horror:Romance:Romance Books,25 Jul 2011,464,Penguin Putnam Inc,English,,,,,,,,,,
123,The End Of The Affair,Graham Greene:Monica Ali,Contemporary Fiction:Military Fiction:World War 2 Fiction:Historical Romance:Historical Romance:Historical Fiction:English Language: Reading & Writing Skills,02 Nov 2004,192,Vintage Publishing,English,,,,,,,,,,
124,I've Got Your Number,Sophie Kinsella,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Apr 2013,464,Transworld Publishers Ltd,English,,,,,,,,,,
125,Surrender : Steel Brothers: Six,Helen Hardt,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,16 May 2017,288,Waterhouse Press,English,,,,,,,,,,
126,Summer at Little Beach Street Bakery : W&H Readers Best Feel-Good Read,Jenny Colgan,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Feb 2015,448,Little Brown Book Group,English,,,,,,,,,,
127,Practical Magic : The Beloved Novel of Love Friendship Sisterhood and Magic,Alice Hoffman,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Religious & Spiritual Fiction,19 Oct 2017,288,Simon & Schuster Ltd,English,,,,,,,,,,
128,Lover Awakened : A Novel of the Black Dagger Brotherhood,J. R. Ward,Crime:Crime Fiction:Romance:Romance Books,25 Jul 2011,464,Penguin Putnam Inc,English,,,,,,,,,,
129,The Capture of the Earl of Glencrae,Stephanie Laurens,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,01 May 2012,496,HarperCollins Publishers Inc,English,,,,,,,,,,
130,Smokin' Seventeen,Janet Evanovich,Contemporary Fiction:Crime:Crime Fiction:Romance:Romance Books,19 Nov 2011,324,Random House USA Inc,English,,,,,,,,,,
131,Secrets After Dark (After Dark Book 2) : Book Two in the After Dark series,Sadie Matthews,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jan 2013,384,Hodder & Stoughton General Division,English,,,,,,,,,,
132,The French Lieutenant's Woman,John Fowles,Classic Books & Novels:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,11 Nov 2004,480,Vintage Publishing,English,,,,,,,,,,
133,Little Beach Street Bakery,Jenny Colgan,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,13 Mar 2014,464,Little Brown Book Group,English,,,,,,,,,,
134,The Wedding,Nicholas Sparks,Contemporary Fiction:Thriller Books:Thrillers:Adult & Contemporary Romance:Adult & Contemporary Romance,13 Dec 2012,289,Time Warner Trade Publishing,English,,,,,,,,,,
135,Blood Magick,Nora Roberts,Romance:Romance Books,28 Oct 2014,322,Penguin Putnam Inc,English,,,,,,,,,,
136,One Grave at a Time : A Night Huntress Novel,Jeaniene Frost,Fantasy:Fantasy Books:Romance:Romance Books,01 Oct 2011,384,HarperCollins Publishers Inc,English,,,,,,,,,,
137,Jane Eyre (Vintage Classics Bronte Series),Charlotte Bronte:Maggie O'Farrell,Classic Books & Novels:Romance:Romance Books,01 Apr 2016,672,Vintage Publishing,English,,,,,,,,,,
138,Faking Friends : THE SUNDAY TIMES BESTSELLER,Jane Fallon,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Jan 2018,448,Penguin Books Ltd,English,,,,,,,,,,
139,Lover Eternal,J. R. Ward,Fantasy:Fantasy Books:Romance:Romance Books,25 Jul 2011,464,Penguin Putnam Inc,English,,,,,,,,,,
