Title,Authors,Genres,Publishing Date,Pages,Publisher,Language
Men of Steel,M.J. Fields,Romance;New Adult;Romance;Contemporary Romance;Contemporary,June 21st 2013,162,MJ Fields,
Twisted Views: Fate's Companion,T. Gephart,Romance,December 10th 2013,None,Smashwords Edition,None
Laid Bare,Lauren Dane,Adult Fiction;Erotica;Romance;Erotica;Bdsm;Contemporary;Erotica;Menage;Romance;Contemporary Romance,August 4th 2009,336,Berkley,English
Stately Pleasures,Lucy Felthouse,Adult Fiction;Erotica;Erotica;Menage;Erotica;Bdsm;Romance;Romance;Erotic Romance,January 16th 2014,200,Xcite Books,None
Just One Day,Gayle Forman,Young Adult;Romance;Contemporary;New Adult,January 8th 2013,369,Dutton Juvenile,English
Good Girl Gone Bad,Karin Tabke,Romance;Adult Fiction;Erotica;Romance;Romantic Suspense;Contemporary;Romance;Contemporary Romance;Romance;Erotic Romance;Adult,September 12th 2006,354,Gallery Books,English
Betting on You,Sydney Landon,Romance;Romance;Contemporary Romance;Contemporary;Novella,January 21st 2014,90,InterMix,
Till Death Do Us Part,Dennis E. Adonis,Lgbt;Glbt;Lesbian,February 1st 2013,196,Createspace,None
Silken Images,Jennifer Larmar,,December 23rd 2013,428,JRL Publishing,None
Haveli,Zeenat Mahal,Romance;Cultural;Pakistan;Historical;Historical Fiction;Historical,June 12th 2013,93,Indireads,
Forever,Karen Ann Hopkins,Young Adult;Romance;Contemporary;Amish,February 1st 2014,336,Harlequin Teen,
Fate's Path,Deborah Ann,Young Adult;Young Adult Romance;Young Adult,,480,Destiny Publishing-Hester,
To Have,Alessandra Torre,Adult Fiction;Erotica;Romance;Contemporary;Romance;Contemporary Romance;Novella,August 9th 2013,58,Alessandra Torre,
Vow Unbroken,Caryl McAdoo,Christian Fiction;Historical;Historical Fiction;Romance;Historical;Romance;Historical Romance;Inspirational;Christian Fiction;Christian Historical Fiction;Westerns,March 4th 2014,368,Howard Books,
Last Chance,A.L. Wood,Romance;Music;New Adult;Academic;College,March 7th 2014,132,Amazon Digital Services,
Offbeat Love Stories and More,Jennifer K. Lafferty,Short Stories;Romance;Anthologies;Fiction,November 22nd 2012,184,,None
Rubenesque Rapture,Rose Wynters,Fantasy;Paranormal;Romance;Paranormal Romance;Adult Fiction;Erotica;Romance;Fantasy,April 15th 2013,288,CreateSpace,
King of Sword and Sky,C.L. Wilson,Fantasy;Romance;Romance;Fantasy Romance;Fantasy;Magic;Romance;Paranormal Romance;Fantasy;Paranormal;Fairies;Fae,September 1st 2008,467,Leisure Books,English
Laying a Foundation,Deanndra Hall,Adult Fiction;Erotica;Romance;Contemporary Romance,August 10th 2013,499,Deanndra Hall,
Second Chance Boyfriend,Monica  Murphy,New Adult;Romance;Contemporary;Romance;Contemporary Romance;Academic;College,April 6th 2013,210,Monica Murphy,
Endre,S.T. Bende,Fantasy;Mythology;Fantasy;Romance;Fantasy;Paranormal;New Adult,,None,,None
Tempest,Chantilly White,Romance;Romance;Contemporary Romance;Short Stories,March 25th 2014,56,SnapDragon Press,
Out of the Box Regifted,Jennifer Theriot,Romance;Contemporary;Romance;Contemporary Romance;Adult,April 7th 2014,None,,
Our Everything,Michelle Jane,,November 13th 2013,None,Smashwords Edition,None
The Heart's Game,Crista McHugh,Contemporary;Romance;Contemporary Romance,July 7th 2014,202,Crista McHugh,
Will They; Won't They?,V.C. Archerly,Romance;Romance;Interracial Romance,June 7th 2014,None,,None
The Rock Orchard: A Novel,Paula Wall,Fiction;Womens Fiction;Chick Lit;American;Southern;Romance;Historical;Historical Fiction;Magical Realism;Womens Fiction;Adult;Humor;Audiobook,January 3rd 2006,272,Washington Square Press,English
I Want to Hold Your Hand,Marie Force,Romance;Romance;Contemporary Romance;Contemporary,June 3rd 2014,352,Berkley,
Ride for a Cure,N.C. Winters,,May 18th 2014,81,Beau Coup Publishing,None
What Lies Inside,J.L.  Myers,Paranormal;Vampires;Fantasy;Paranormal;Young Adult;Romance;Romance;Paranormal Romance,June 21st 2013,362,J.L. Myers,
Possession of My Soul,Kia Carrington-Russell,Fantasy;Romance;Young Adult;Fantasy;Paranormal,May 15th 2014,230,Crystal Publishing,English
To Live and Love In L.A.,Ben Peller,Autobiography;Memoir;Young Adult;Coming Of Age,April 29th 2012,323,Algonquin Round Table Publishing,
Complete Surrender,Ju Ephraime,Romance;Mystery;Romance;Contemporary Romance,January 26th 2014,274,ENVISION Business & Computer School Publishing,
Step Across the Rubicon,Holly Blackstone,Romance,April 6th 2013,None,Linlithgow Press,
Just Human,Kerry Heavens,New Adult;Romance;Contemporary;Romance;Contemporary Romance;Did Not Finish,July 20th 2013,294,Smashwords,
Eternally and Evermore,Marc Nobbs,,January 4th 2011,None,Phaze Books,None
The Sons of Adam,Eva García Sáenz;Tina Hart,Romance;Historical;Historical Fiction;Fantasy;Fantasy;Paranormal,July 20th 2014,372,,
Belfast Girls,Gerry McCullough,Romance;Fiction;Thriller;Mystery;Womens Fiction;Chick Lit,November 27th 2010,316,Createspace,None
Marly's Choice,Lora Leigh,Adult Fiction;Erotica;Romance;Erotica;Menage;Romance;Erotic Romance;Contemporary;Erotica;Bdsm,August 27th 2003,312,Ellora's Cave,English
Chop; Chop,L.N. Cronk,Christian Fiction;Christian;Fiction;Young Adult;Contemporary,,204,Rivulet Publishing,English
The White Rose,Mary Ann Cook,Romance;Romance;Historical Romance;War;World War II;Did Not Finish,December 1st 2012,337,,None
Winter Hopes,Jennifer Gracen,Romance;Contemporary Romance;Romance,July 1st 2014,200,Booktrope Editions,
Tressa,Barbara T. Cerny,Romance;Historical Romance;Fiction,August 20th 2011,294,Strategic Book Publishing,English
Instinctual Book 1,Amanda Mackey,,September 23rd 2014,204,Limitless Publishing,None
Agnes Grey,Anne Brontë;Hilda Marsden;Robert Inglesfield,Classics;Fiction;Romance;Literature;19th Century,July 1st 2010,174,Oxford University Press,English
What If,Rebecca Donovan,New Adult;Romance;Contemporary;Young Adult;Mystery,September 16th 2014,371,Forever,
Moonstone Obsession,Elizabeth Ellen Carter,Historical;Romance;Historical Romance;Romance;Historical;Regency,October 18th 2013,453,Etopia Press,
Rival Love,Natalie Decker,Young Adult;Romance;Sports and Games;Sports;Contemporary;Young Adult;High School;Contemporary Romance;Sports Romance,August 26th 2014,None,Swoon Romance,None
Stolen Breaths,Pamela Sparkman,New Adult;Romance;Romance;Contemporary Romance;Contemporary,January 30th 2014,197,Smashwords,
The Game,Brenda Joyce,Romance;Historical Romance;Romance;Historical;Adventure;Pirates,February 26th 2008,480,Avon,English
Her Master's Heart,Lawrence Southwick;S.H. Beans,Erotica;Bdsm;Adult Fiction;Erotica;Romance;Business;Amazon;Adult,December 12th 2014,212,Ashton Publishing Group,None
Beach Bum Billionaire; Book One,Jill Lang,Romance;Contemporary,January 8th 2015,126,Lang Publishing,
Suspicious Minds,Kim Cox,Spy Thriller;Espionage;Mystery;Detective,March 28th 2003,188,Amber Quill Press; LLC,English
Shades of Obsession,J.R.  King,Dark;Erotica;Bdsm;Adult Fiction;Erotica;Did Not Finish;Romance,December 31st 2014,772,Amazon Digital Services,
The Highlander Series 3-Book Bundle,Maya Banks,Romance;Historical Romance;Romance;Historical,August 13th 2012,1056,Ballantine Books,
Night of Cake and Puppets,Laini Taylor,Fantasy;Young Adult;Romance;Short Stories;Novella;Fantasy;Paranormal,November 26th 2013,79,Hodder & Stoughton,English
Dylan: Fianna Fáil: Soldiers of Destiny,S. Kline,Romance;New Adult,March 8th 2015,313,Createspace,
Chasing Tail,Celia Kyle,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Shapeshifters;Romance,March 2015,98,,
Gone Too Far,Natalie D. Richards,Young Adult;Mystery;Contemporary;Romance;Thriller,January 6th 2015,320,Sourcebooks Fire,English
Breathe In,Martha Sweeney,Romance;Romance;Erotic Romance;Did Not Finish,May 15th 2015,474,Kralik Consultants LLC,
Tiger Lily,Jodi Lynn Anderson,Fantasy;Young Adult;Retellings;Romance;Fantasy;Fairy Tales,July 3rd 2012,292,HarperCollins,English
Hollywood Bound,Morticia Knight,Romance;M M Romance;Historical;Erotica;Bdsm;Romance,November 1st 2013,189,Total-E-Bound,
Taken By The Huntsman,Mistral Dawn,Fantasy;Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Fairies;Fae;Adult Fiction;Erotica;Romance;Fantasy Romance,September 9th 2014,388,Smashwords Edition,None
The Silvering,Sonya Deanna Terry,Fantasy;Urban Fantasy;Romance,December 28th 2014,464,Sonya D Terry,
A Diamond in the Rough,Elisa Marie Hopkins,Romance;Mystery;Romance;Contemporary Romance;Thriller;Mystery Thriller,March 24th 2015,366,Stellar Jay Publications,
Torn,Billy Wood-Smith,Romance;Cultural;International,March 13th 2015,None,,
Lieutenant Henry Gallant,H. Peter Alesso,Science Fiction;Fiction;Business;Amazon,August 12th 2014,312,Video Software Lab,
Justifying Jack,J.M. Northup;Simone Beaudelaire,Romance;Romance;Contemporary Romance,May 25th 2015,191,Creativia,
Anissa's Redemption,Zack Love,Romance;Fiction;New York,March 27th 2015,210,,
Taking Chances,Alannah Carbonneau,Romance;Contemporary Romance,December 16th 2014,212,,None
When Love Meets Mr. Lust,Mathilda Maldita;R.D.M. Jr.,Romance;Love,April 17th 2015,386,Amazon Digital Services,None
A Tale of Struggle; Success; and Love (Erotic Spanking stories #1),Stephanie Rose,,March 4th 2015,None,Darkness series,None
My Silver Lining,Rachael Ruble,,October 16th 2012,148,Authorhouse,None
Last Resort,Jill Sanders,Romance;Romance;Contemporary Romance;Contemporary,January 17th 2015,292,Grayton Press,
Just Us,Violette Paradis,,October 31st 2014,65,,
55 مشكلة حب,مصطفى محمود,,,182,دار المعارف بمصر,None
The Maverick's Red Hot Reunion,Christine Glover,Romance;Contemporary Romance;Romance;Contemporary,June 30th 2014,162,Entangled: Indulgence,
A Necessary Fiction,Jane Emerssen,,August 22nd 2013,400,Jaystone,None
Bullwhipped,Danica Chandler,Westerns;Contemporary;Romance;Contemporary Romance,March 6th 2015,133,,None
Welcome; Reluctant Stranger,E. Journey,Romance;Romance;Contemporary Romance,May 15th 2015,318,Sojourner Books,None
Private Scandals,Nora Roberts;Julie Finneran,Romance;Romance;Romantic Suspense;Romance;Contemporary Romance;Contemporary;Fiction,August 5th 2003,405,Berkley Trade,English
Love Of Country,Vicki Green,Romance;Romance;Contemporary Romance,May 27th 2015,235,Vicki Green,
Love Heals the Heart,Diane Rose Duffy,Romance;Romance;Contemporary Romance;Womens Fiction;Contemporary;Young Adult,June 10th 2015,201,,None
Be My Hero,Linda Kage,New Adult;Romance;Contemporary;Romance;Contemporary Romance;Sociology;Abuse,August 25th 2014,377,Self,
Say the Word,Julie   Johnson,New Adult;Romance;Romance;Contemporary Romance;Contemporary;Suspense;Mystery,June 5th 2014,458,,None
Cress,Marissa Meyer,Young Adult;Fantasy;Science Fiction;Romance,February 4th 2014,552,Feiwel & Friends,English
Beauty and the Werewolf,Mercedes Lackey,Fantasy;Romance;Fantasy;Fairy Tales;Fiction;Fantasy;Magic,October 18th 2011,329,Luna,English
With Dreams Only of You: The Legend of the Theodosia Sword,Kathryn Le Veque;Christi Caldwell;Eliza Knight;Suzan Tisdale;Cynthia  Wright;Eva Devon,Historical;Anthologies;Romance;Historical Romance;Historical;Historical Fiction,June 23rd 2015,521,Dragonblade Publishing,
Still Life with Woodpecker,Tom Robbins,Fiction;Humor;Literature;Novels,April 9th 2001,277,No Exit Press,English
Succubus Dreams,Richelle Mead,Fantasy;Urban Fantasy;Fantasy;Paranormal;Fantasy;Romance;Romance;Paranormal Romance;Paranormal;Demons;Paranormal;Vampires,October 1st 2008,296,Kensington Publishing Corporation,English
Lost In Wyoming (Maitland Legacy; A Family Saga Book 1),Vivian Sinclair,,July 18th 2015,136,East Hill Books,None
Love After Pain,Torrie Robles,Fiction;Womens Fiction;Chick Lit;Family,August 22nd 2015,242,Torrie Robles,None
Transcending Darkness,Airicka Phoenix,Romance;Romance;Contemporary Romance;Contemporary;Dark;Did Not Finish,July 27th 2015,None,Airicka Pheonix,None
Monica,Caridad Bravo Adams,Romance;Romance;Historical Romance;European Literature;Spanish Literature;Historical;Romance;Contemporary Romance,,187,,
Boyfriend for Hire,Gail Chianese,Romance;Romance;Contemporary Romance,November 24th 2015,278,Lyrical Shine,
If Tomorrow Comes,Sidney Sheldon,Fiction;Thriller;Mystery;Suspense;Romance;Mystery;Crime,,501,William Morrow and Co.; Inc.,English
Twisted Love,R.C. Stephens,New Adult;Romance,May 31st 2015,322,,None
The Silk Weaver's Daughter,Elizabeth Kales,Historical;Historical Fiction;Romance;Cultural;France;Romance;Historical Romance,December 19th 2011,274,,None
Palomino,Danielle Steel,Romance;Fiction;Womens Fiction;Chick Lit,December 1982,463,Dell,
Primal Instinct,Tara Wyatt,Romance;Romance;Romantic Suspense;Contemporary,May 31st 2016,352,Forever,
Annie on My Mind,Nancy Garden,Lgbt;Young Adult;Romance;Fiction;Glbt;Queer,,234,Farrar; Straus and Giroux (BYR),English
To Be His,Terri L. Austin,Romance;Romance;Contemporary Romance;Novella;Contemporary,August 1st 2015,130,Sourcebooks Casablanca,None
Forbid Me,M.  Robinson,Romance;New Adult,November 24th 2015,324,,None
Breaking Him,R.K. Lilley,Romance;New Adult;Contemporary;Romance;Contemporary Romance,October 3rd 2015,338,R.K. Lilley,English
A Gentleman Undone,Cecilia Grant,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,May 29th 2012,350,Bantam,
The Quirky Tale of April Hale,Cathy Octo,Romance;Contemporary;Young Adult;Humor;Young Adult;High School;Humor;Funny;Womens Fiction;Chick Lit;Fiction;Realistic Fiction;Did Not Finish,October 27th 2015,273,Blvnp Publishing Incorporated,None
Memories of My Melancholy Whores,Gabriel García Márquez;Edith Grossman,Romance;Magical Realism;Fiction;Literary Fiction;Nobel Prize;Contemporary,November 2006,115,Vintage International,English
war/SONG (Book of Hymns 1),Armada West,,December 25th 2015,49,,None
In the Eye of the Storm,Robert Thier,Romance;Historical;Romance;Historical Romance;Historical;Historical Fiction;Adventure,,None,Wattpad,None
Playing A Player,Ivy Smoak,Romance;Contemporary;Did Not Finish,November 4th 2015,260,Amazon Digital Services,None
The Sexy Boss: Sedition (The Sexy Series),T.R. Bertrand;Z.L. Arkadie,Romance;Contemporary;Business;Amazon,November 3rd 2015,234,,None
A Unique Kind of Love: A Different Perspective [Excerpt],Jasmine  Rose,Love,April 12th 2014,22,BLVNP Incorporated,None
The Cheating Wives Club: Women are dying to join,D.J. Jouett,,March 12th 2016,385,D. J. Jouett,None
Sweetest Venom,Mia Asher,Romance;New Adult;Adult Fiction;Erotica;Romance;Contemporary Romance,April 1st 2016,222,Mia Asher,
Outrunning Angel,Shanda Haffly,Romance;Contemporary Romance,February 4th 2016,None,Shanda K. Haffly,
An Au Pair and a Millionaire,Eva Goldsby,,April 11th 2016,132,,None
Caine's Reckoning,Sarah McCarty;Zoe Winslow,Romance;Romance;Historical Romance;Westerns;Historical;Adult Fiction;Erotica;Romance;Western Romance,October 31st 2007,14,Harlequin Spice,
The Winner's Curse,Marie Rutkoski,Fantasy;Young Adult;Romance;Science Fiction;Dystopia,March 3rd 2015,384,Square Fish,English
Race to My Heart (Race to My Heart; #1),Dorice Grey,Suspense;Romance;Erotic Romance;Contemporary;Adult,June 1st 2016,288,eXtasy Books,None
Calde notti d'oriente,Mercy Molinari,,August 5th 2016,None,,None
Sexiest Man Alive,M.  Clarke,Romance;Contemporary;Romance;Contemporary Romance,February 22nd 2016,None,,None
Lucy Sullivan Is Getting Married,Marian Keyes,Womens Fiction;Chick Lit;Fiction;Romance,January 23rd 2007,640,William Morrow Paperbacks,English
Meant to be together: Small town love story,Jennifer Hartley,,December 23rd 2015,8,Published Infinity Press,None
The Enforcer,Kele Moon,Romance;Romance;Contemporary Romance;Dark,March 22nd 2016,None,Loose Id,
Last Summer (The Last Series Book 1),J.M. Paul,,December 22nd 2015,357,JM Paul LLC,None
Natural Disasters; A Love Story,Geraldine Cantrell,Womens Fiction;Romance,November 3rd 2016,333,,None
Obsession,S.M.  Phillips,Romance;New Adult;Romance;Contemporary Romance;Adult Fiction;Erotica,December 8th 2014,None,,None
Natale con Mr. Trouble,Aura Conte,Romance,December 4th 2016,None,StreetLib,None
Blood & Ashes,Jane  Jordan,Romance;Paranormal;Vampires;Horror;Gothic;Fantasy,February 17th 2010,272,Troubador Publishing,
Seven Sons of Zion,Lucian Bane,Adult Fiction;Action;Classics;Fantasy;Paranormal,April 28th 2016,220,,
Breaking Lucas,Amanda Kaitlyn,,October 9th 2016,None,Amanda Kaitlyn,None
Cuts Like an Angel,Lucian Bane;Mason Sabre;Lucian Bane,Romance;Romance;Contemporary Romance,August 28th 2016,428,Createspace Independent Publishing Platform,None
Savage,Michelle St. James,Romance;Mystery;Crime;Dark,February 9th 2016,268,Blackthorn Press,
Unbridled Passion,Diana  Thompson,,August 27th 2016,347,For Pity Sake Publishing,
The Black River Chronicles: Level One,David Tallerman;Michael Wills;Ed Greenwood,Fantasy;Young Adult;Childrens,October 12th 2016,296,Digital Fantasy Fiction,
Moody,C.M. Seabrook,Romance;Martial Arts;Mixed Martial Arts;Warfare;Fighters,November 20th 2016,226,Seabrook Books,None
Limits of Destiny,Sharlyn G. Branson,Romance;Contemporary Romance;Romance,August 17th 2015,314,Sharlyn G. Branson,
King's Captive,Amber A. Bardan,Romance;Contemporary;Dark;Romance;Contemporary Romance;Adult Fiction;Erotica;Romance;Romantic Suspense;Mystery,February 13th 2017,252,Carina Press,None
A Reason To Stay,Melissa Ellen,Romance;Did Not Finish,March 21st 2017,526,Melissa Ellen,
When Danger Bites,Heather Long,Romance;Fantasy;Paranormal;War;Military;Paranormal;Shapeshifters;Romance;Paranormal Romance;Fantasy,May 8th 2017,300,Entangled Publishing; LLC (Otherworld),
Playing for Keeps,Alix Nichols,Romance;Fiction,June 15th 2017,160,,
Purple Orchids,Samantha Christy,Romance;New Adult;Academic;College;Romance;Contemporary Romance,March 9th 2015,434,Athena Books Publishing Group,
More Than Miles,Autumn Jones Lake,Romance,August 16th 2016,491,,
Sweet Carolina Morning,Susan Schild,Contemporary;Romance;Romance;Contemporary Romance;Fiction,August 2nd 2016,288,Lyrical Press,
Fifteen Minutes of Shame,Lisa Daily,Womens Fiction;Chick Lit;Fiction;Romance;Humor,March 25th 2008,287,Plume,English
11.22.63,Stephen King;Craig Wasson,Fiction;Historical;Historical Fiction;Science Fiction;Science Fiction;Time Travel;Fantasy,November 8th 2011,31,Simon & Schuster Audio,
Attraction,Penny Reid,Romance;New Adult;Contemporary;Academic;College;Romance;Contemporary Romance,April 6th 2015,161,Caped Publishing,
One To Watch Me,Alicia  Maxwell,,October 5th 2017,None,Alicia Maxwell,
Black Mirrors of the Soul,Charles W. McDonald Jr.,,April 9th 2017,492,A Throne of Souls,None
Separation Games,C.D. Reiss,Erotica;Bdsm;Romance;Adult Fiction;Erotica;Romance;Contemporary Romance;Contemporary,January 3rd 2017,340,Flip City Media Inc.,
When Morning Comes (Silhouette Special Editions; #143),Laurey Bright,,January 1984,256,Silhouette,English
His Viking Bride,Olivia Norem,,October 5th 2017,254,Amazon Digital Services,None
Tokyo Hearts,Renae Lucas-Hall,Cultural;Japan;Romance;Contemporary,June 19th 2012,200,Grosvenor House Publishing,None
On a Highland Shore,Kathleen Givens,Historical;Historical Fiction;Romance;Historical Romance;Romance;Cultural;Scotland;Historical;Fiction;Historical;Medieval,July 11th 2006,400,Pocket,English
Noches de neón,Scarlett de Pablo,,March 7th 2018,624,Escarlata Ediciones,None
Changing Grace,Elizabeth   Marshall,Fantasy;Paranormal;Romance;Science Fiction;Time Travel;Paranormal;Ghosts,September 27th 2011,None,Createspace,English
In Dreams,J. Sterling,Romance;Young Adult;Fantasy;Paranormal;Fantasy,January 13th 2014,231,Jenn Sterling,
My Sunshine,Catherine Anderson,Romance;Romance;Contemporary Romance;Contemporary,January 4th 2005,421,Berkley Books,English
A Rose to the Fallen,April Bostic,Romance;Fantasy;Paranormal;Paranormal;Angels;Did Not Finish;Romance;Paranormal Romance;Romance;Contemporary Romance,December 16th 2008,676,Authorhouse,English
Black Lion's Bride,Tina St. John,Romance;Historical Romance;Romance;Historical;Historical;Medieval,April 30th 2002,320,Ivy Books,English
The English Patient: A Screenplay,Anthony Minghella;Michael Ondaatje,Fiction;Romance;Novels;Plays;Drama;Media Tie In;Movies;War;Culture;Film;Own,November 15th 1996,208,Miramax Books,English
The Charmer,Autumn Dawn,Fantasy;Fantasy;Paranormal;Romance;Romance;Paranormal Romance,February 5th 2011,265,Autumn Dawn,
Things Fall Apart,Chinua Achebe,Fiction;Classics;Cultural;Africa;Historical;Historical Fiction;Academic;School;Literature,September 1st 1994,209,Anchor Books,English
Heart of Steel,Jennifer Probst,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica,June 1st 2012,179,BookHub,None
The Dangerous Dandy,Barbara Cartland,Romance;Historical;Romance;Historical Romance;Fiction;Historical;Historical Fiction,July 1974,200,Bantam Books; Inc,English
What Kills Me,Wynne Channing,Paranormal;Vampires;Fantasy;Paranormal;Young Adult;Fantasy,June 6th 2012,323,Jet & Jack Press,
Shadow and Bone,Leigh Bardugo,Fantasy;Young Adult;Young Adult;Young Adult Fantasy;Romance,June 5th 2012,358,Henry Holt and Company,English
Love on the Dark Side,Mathilde Madden;Olivia Knight;Teresa Noelle Roberts;Portia Da Costa;Mae Nixon;Angel Blake;Kristina Lloyd;Sophie Mouette,Adult Fiction;Erotica;Fantasy;Paranormal;Anthologies;Romance;Paranormal Romance,August 9th 2007,288,Black Lace,English
Cryer's Cross,Lisa McMann,Fantasy;Romance;Young Adult;Teen;Suspense,December 6th 2011,233,Simon Pulse,English
Playing with Fire,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Fantasy;Urban Fantasy;Fantasy;Magic,August 22nd 2006,379,Harlequin Books,English
History of Art,H.W. Janson;Anthony F. Janson,Art;History;Art;Art History;Reference,September 22nd 1997,1000,Thames and Hudson,English
Eternity,Kim Carmichael,Romance;Adult Fiction;Erotica;Romance;Erotic Romance;Fantasy;Romance;Contemporary Romance,January 7th 2013,77,Keith publications,None
Dating Delaney,K. Larsen,Young Adult;Young Adult Romance,January 2nd 2013,200,,None
Shadowkiller,Wendy Corsi Staub,Mystery;Suspense;Fiction;Thriller,January 29th 2013,400,Harper,
Coming Up Roses,Catherine Anderson,Romance;Romance;Historical Romance;Historical;Westerns,August 1st 1993,385,Harper Monogram,English
Yankee Stranger,Elswyth Thane,Historical;Historical Fiction;Fiction;Romance;Military History;Civil War;Romance;Historical Romance;Historical,,None,Buccaneer Books,
El Protector,Isabel Keats,Romance;Romance;Erotic Romance;Category Romance;Harlequin;Romance;Contemporary Romance,,None,Harlequin Iberica,None
The Constant Princess,Philippa Gregory,Historical;Historical Fiction;Historical;Fiction;Romance,December 6th 2005,416,Touchstone,
The Bet,Teisha Mott,Romance,July 5th 2012,305,,
The Rule of Four,Ian Caldwell;Dustin Thomason,Fiction;Mystery;Thriller;Historical;Historical Fiction,June 28th 2005,450,Dell Publishing Company,English
The Genius and the Muse,Elizabeth   Hunter,Romance;Contemporary;Romance;Contemporary Romance;Fiction,April 28th 2012,223,CreateSpace,English
Asking for Trouble,Elizabeth Young,Womens Fiction;Chick Lit;Romance;Fiction;Contemporary,September 4th 2001,408,William Morrow Paperbacks,English
Hard to Love,Kendall Ryan,Romance;Contemporary,January 8th 2013,227,,
Chateau Of Flowers,Margaret Rome,Romance;Category Romance;Harlequin;Fiction;Contemporary,,None,,English
Mistress to the Beast,Eve Vaughn,Romance;Romance;Interracial Romance;Adult Fiction;Erotica;Fairy Tales;Beauty and The Beast;Romance;Contemporary Romance;Contemporary;Romance;Erotic Romance,June 17th 2008,146,Samhain Publishing; Ltd.,
Five Days in Paris,Danielle Steel,Romance;Fiction;Womens Fiction;Chick Lit,November 1st 1995,0,Random House Audio,English
Loving You,Cynthia P. O'Neill,Romance;Business;Amazon,November 7th 2013,194,,
A Leap of Faith,T. Gephart,Romance;Music,October 1st 2013,None,Smashwords Edition,None
Illicit Relations,Lucy Felthouse,Romance;M M Romance;Romance;Adult Fiction;Erotica;Contemporary,July 7th 2016,64,Lucy Felthouse,
Fall for Me,Sydney Landon,Romance;Contemporary;Romance;Contemporary Romance;Adult,February 26th 2013,304,Signet,
Taste of Darkness,Maria V. Snyder,Fantasy;Fantasy;Magic;Young Adult;Romance,January 2014,458,HarlequinTeen Australia,
Destiny,Deborah Ann,Fantasy;Paranormal;Fantasy;Young Adult,November 2012,515,Destiny Publishing-Hester,
Masumiyet Müzesi,Orhan Pamuk,Fiction;Asian Literature;Turkish Literature;Cultural;Turkish;Novels,August 27th 2008,592,İletişim,Turkish
To Hold,Alessandra Torre,Adult Fiction;Erotica;Romance;Contemporary;Romance;Contemporary Romance;Adult,August 12th 2013,52,Alessandra Torre,
Breaking the Rules (The Breaking Series; #1),Nicole Sturgill,,,310,Dream Big Publishing,None
رابعة العدوية ( نصوص مسرحية #106 (,نادية البنهاوي,,,174,الهيئة العامة لقصور الثقافة,None
Rebel Yells,Rain Carrington,Romance;M M Romance;Romance;Contemporary,February 2nd 2014,297,AAS Publishing,
Dante's Amulet,Melinda De Ross,Romance;Contemporary Romance;Romance,April 12th 2014,316,Melinda De Ross,
Cupid's Mistake,Chantilly White,Romance;Romance;Contemporary Romance,February 24th 2013,124,SnapDragon Press,
Arielle Immortal Quickening,Lilian Roberts,Young Adult;European Literature;British Literature;Romance;Fantasy;Adventure;Fantasy;Paranormal;Fantasy;Magic;Cultural;Italy,June 5th 2014,220,Booktrope Editions,
Riptide,Amber Lea Easton,Romance;Romance;Romantic Suspense;Romance;Contemporary Romance;Thriller;Contemporary;Suspense,September 2012,329,Siren-Bookstrand,None
On the Fence,Kasie West,Young Adult;Romance;Contemporary;Fiction;Womens Fiction;Chick Lit;Young Adult;High School;Young Adult;Young Adult Contemporary;Realistic Fiction;Romance;Contemporary Romance;Young Adult;Teen,July 1st 2014,320,HarperTeen,
Je Suis à Toi,Pepper Winters,Dark;Erotica;Bdsm;Adult Fiction;Erotica;Romance;Contemporary,May 29th 2016,208,,None
State of Ecstasy,Ju Ephraime,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica,May 25th 2011,252,ENVISION Business & Computer School Publishing,
The Air I Breathe,Holly Blackstone,Romance,May 16th 2013,None,Linlithgow Press,
Beethoven's Immortal,Jeff Fuell,,May 24th 2010,124,Synergebooks.com,None
Sarah's Seduction,Lora Leigh,Adult Fiction;Erotica;Erotica;Menage;Romance;Romance;Erotic Romance;Erotica;Bdsm;Contemporary,September 10th 2004,263,Ellora's Cave,
Until Trevor,Aurora Rose Reynolds,Romance;Romance;Contemporary Romance;New Adult;Contemporary,October 31st 2013,434,self,
Spring Shadows,Jennifer Gracen,Romance;Contemporary Romance;Romance,September 29th 2014,228,Booktrope Editions,English
With the Father,Jenni Moen,Romance;Contemporary;Dark;Romance;Contemporary Romance;Suspense;Adult,September 20th 2014,257,,
Of Angels and Orphans,Barbara T. Cerny,,September 23rd 2009,366,Eloquent Books,None
Iron's Prophecy,Julie Kagawa,Fantasy;Young Adult;Fantasy;Paranormal;Romance;Paranormal;Fairies;Fairies;Fae;Novella,September 1st 2012,67,Harlequin TEEN,
Blocked,Jennifer Lane,New Adult;Romance;Sports and Games;Sports;Academic;College;Romance;Contemporary Romance,October 21st 2014,300,Psyched Publishing,
Lethal Attraction (Silhouette Intimate Moments),Diana Duncan,Romance;Romance;Contemporary Romance;Romance;Romantic Suspense;War;Military;Suspense;Contemporary,March 1st 2008,224,Silhouette Romantic Suspense,
