,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language
2992,2992,1518,97,The Madness Of Lord Ian Mackenzie,Jennifer Ashley,Romance:Romance Books:Historical Romance:Historical Romance,03 Nov 2011,328,Penguin Putnam Inc,English,The Madness of Lord Ian Mackenzie,Jennifer Ashley,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Adult,May 1st 2009,320,Leisure Books,English
2994,2994,1689,97,The Wicked Deeds of Daniel MacKenzie,Jennifer Ashley,Historical Romance:Historical Romance,01 Oct 2013,371,Berkley Books,English,The Madness of Lord Ian Mackenzie,Jennifer Ashley,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Adult,May 1st 2009,320,Leisure Books,English
2996,2996,2242,97,The Stolen Mackenzie Bride,Jennifer Ashley,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,01 Dec 2015,323,Penguin Putnam Inc,English,The Madness of Lord Ian Mackenzie,Jennifer Ashley,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Adult,May 1st 2009,320,Leisure Books,English
3133,3133,1051,99,Slave to Sensation : Book 1,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,04 Mar 2010,368,Orion Publishing Co,English,Slave to Sensation,Nalini Singh,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Fantasy;Fantasy;Urban Fantasy;Paranormal;Shapeshifters,September 5th 2006,334,Berkley Sensation,
3156,3156,1286,99,Slave to Sensation,Nalini Singh,Adventure Books:Fantasy:Fantasy Books:Romance:Romance Books,27 Jul 2009,345,Penguin Putnam Inc,English,Slave to Sensation,Nalini Singh,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Fantasy;Fantasy;Urban Fantasy;Paranormal;Shapeshifters,September 5th 2006,334,Berkley Sensation,
3184,3184,1575,100,This Heart of Mine,Susan Elizabeth Phillips,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,05 Feb 2002,432,HarperCollins Publishers Inc,English,This Heart of Mine,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit;Contemporary Romance;Sports Romance,February 5th 2002,432,Avon,
3212,3212,2323,100,This Rake Of Mine,Elizabeth Boyle,Historical Romance:Historical Romance,29 Aug 2011,375,HarperCollins Publishers Inc,English,This Heart of Mine,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit;Contemporary Romance;Sports Romance,February 5th 2002,432,Avon,
3261,3261,161,102,Devil in Winter : The Wallflowers Book 3,Lisa Kleypas,Historical Romance:Historical Romance,23 Feb 2016,374,HarperCollins Publishers Inc,English,Devil in Winter,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,February 28th 2006,368,Avon,English
3296,3296,2078,102,The Devil In Winter : Number 3 in series,Lisa Kleypas,Historical Romance:Historical Romance:Historical Fiction,20 Jan 2011,336,Little Brown Book Group,English,Devil in Winter,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,February 28th 2006,368,Avon,English
3328,3328,2,105,Me Before You,Jojo Moyes,Fiction Books:Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Short Story Books,02 Sep 2015,512,Penguin Books Ltd,English,Me Before You,Jojo Moyes,Romance;Fiction;Audiobook,December 31st 2012,369,Pamela Dorman Books/Viking,English
3336,3336,195,105,Me Before You,Jojo Moyes,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Apr 2014,369,Penguin Books,English,Me Before You,Jojo Moyes,Romance;Fiction;Audiobook,December 31st 2012,369,Pamela Dorman Books/Viking,English
3340,3340,2525,105,Me Before You : A Novel,Jojo Moyes,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,31 Dec 2012,369,Pamela Dorman Books,English,Me Before You,Jojo Moyes,Romance;Fiction;Audiobook,December 31st 2012,369,Pamela Dorman Books/Viking,English
3392,3392,232,108,North and South,Elizabeth Gaskell:Patricia Ingham,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance:Sagas:Historical Fiction,23 Dec 2008,496,Penguin Books Ltd,English,North and South,Elizabeth Gaskell;Alan Shelston,Romance;Historical;Historical Fiction;Classics;Literature;19th Century;Historical,January 13th 1994,521,Penguin Books,English
3429,3429,2187,108,North and South,Elizabeth Gaskell:Alan Shelston,Literary Studies: General:Literary Studies: C 1800 To C 1900:Literary Studies: Fiction Novelists & Prose Writers:Historical Romance:Historical Romance:Sagas:Historical Fiction,30 Nov 2004,608,WW Norton & Co,English,North and South,Elizabeth Gaskell;Alan Shelston,Romance;Historical;Historical Fiction;Classics;Literature;19th Century;Historical,January 13th 1994,521,Penguin Books,English
3464,3464,272,108,North and South,Elizabeth Gaskell:Dr. Patsy Stoneham:Dr. Keith Carabine,Classic Books & Novels:Historical Romance:Historical Romance:Sagas:Historical Fiction,01 Jan 1998,448,Wordsworth Editions Ltd,English,North and South,Elizabeth Gaskell;Alan Shelston,Romance;Historical;Historical Fiction;Classics;Literature;19th Century;Historical,January 13th 1994,521,Penguin Books,English
3525,3525,2512,109,Match Me If You Can,Susan Elizabeth Phillips,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,11 Jul 2011,402,HarperCollins Publishers Inc,English,Match Me If You Can,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Sports and Games;Sports;Contemporary Romance;Sports Romance,August 2006,388,AVON Books,English
3565,3565,366,111,Paradise,Judith McNaught,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,01 Oct 2006,709,Simon & Schuster Ltd,English,Paradise,Judith McNaught,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Romance;Historical Romance,July 1st 2003,709,Pocket Books,English
3630,3630,2445,114,Nobody's Baby But Mine,Susan Elizabeth Phillips,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Jul 2011,384,HarperCollins Publishers Inc,English,Nobody's Baby But Mine,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit;Contemporary Romance;Sports Romance,February 1st 1997,374,Avon Books,English
3666,3666,1290,115,The Coincidence of Callie and Kayden,Jessica Sorensen,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Aug 2013,400,Little Brown Book Group,English,The Coincidence of Callie & Kayden,Jessica Sorensen,New Adult;Romance;Contemporary;Young Adult;Sociology;Abuse,December 13th 2012,283,,
3697,3697,1679,116,The Hamilton Affair : The Epic Love Story of Alexander Hamilton and Eliza Schuyler,Elizabeth Cobbs,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,19 Oct 2017,416,Hodder & Stoughton General Division,English,Kissed by an Angel/The Power of Love/Soulmates,Elizabeth Chandler,Young Adult;Romance;Paranormal;Angels;Fantasy;Paranormal;Fantasy,December 16th 2008,704,Simon Pulse,
3726,3726,2428,116,Kiss an Angel,Susan Elizabeth Phillips,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Jul 2011,373,HarperCollins Publishers Inc,English,Kissed by an Angel/The Power of Love/Soulmates,Elizabeth Chandler,Young Adult;Romance;Paranormal;Angels;Fantasy;Paranormal;Fantasy,December 16th 2008,704,Simon Pulse,
3769,3769,562,117,Vision In White : Number 1 in series,Nora Roberts,Adult & Contemporary Romance:Adult & Contemporary Romance,22 Oct 2009,352,Little Brown Book Group,English,Vision in White,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,April 28th 2009,325,Berkley Books,English
3783,3783,690,117,Vision in White,Nora Roberts,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 May 2012,319,Penguin Putnam Inc,English,Vision in White,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,April 28th 2009,325,Berkley Books,English
3914,3914,1462,119,Goddess Of Love : Number 5 in series,P. C. Cast,Fantasy:Fantasy Books:Romance:Romance Books,15 Jul 2011,336,Little Brown Book Group,English,Goddess of Light,P.C. Cast,Romance;Paranormal Romance;Fantasy;Mythology;Fantasy;Paranormal;Fantasy;Romance,April 5th 2005,355,Berkley,English
3915,3915,1500,119,Goddess Of The Sea : Number 1 in series,P. C. Cast,Fantasy:Fantasy Books:Romance:Romance Books,07 Jul 2011,416,Little Brown Book Group,English,Goddess of Light,P.C. Cast,Romance;Paranormal Romance;Fantasy;Mythology;Fantasy;Paranormal;Fantasy;Romance,April 5th 2005,355,Berkley,English
3930,3930,3798,122,Caught Looking : Erotic Tales of Voyeurs and Exhibitionists,Alison Tyler,Erotic Fiction,01 Nov 2006,192,Cleis Press,English,Rules of Protection,Alison Bliss,Romance;Humor;Funny;Romance;Contemporary Romance;Did Not Finish;Contemporary;Suspense,August 26th 2014,392,Entangled: Select,
